state,station_name,nsn,item_name,quantity,ui,acquisition_value,demil_code,demil_ic,ship_date,station_type,org_ship_date,file_date,book_name,sheet_name
TX,AUSTIN POLICE DEPT,1240-01-412-6608,"TELESCOPE,STRAIGHT",56,Each,943,D,7,2016-03-21,,2016-03-21 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-379-1410,"FILTER,INFRARED LIGHT",100,Each,42.45,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-412-6608,"TELESCOPE,STRAIGHT",2,Each,943,D,7,2014-06-17,,2014-06-17 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1560-01-033-8263,"SUPPORT,STRUCTURAL COMPONENT,AIRCRAFT",2,Each,1122.98,B,3,2016-01-13,,2016-01-13 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-398-4315,"INFRARED EQUIPMENT,SUBASSEMBLY",17,Each,503,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,7110-DS-SAF-E000,SAFE,1,Each,3000,A,,2014-12-24,,2014-12-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1005-01-565-6165,"BRAKE,MUZZLE",13,Each,131.15,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-463-4839,"IMAGE CONVERTER,NIGHT VISION",26,Each,760.96,D,7,2013-06-06,,2013-06-06 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,2945-00-109-2364,"PARTICLE SEPERATOR,ENGINE AIR INLET",1,Each,2427,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-380-5102,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",11,Each,118.92,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-380-5102,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",9,Each,118.92,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1680-01-204-3084,"TUBE ASSY,COLLECTIV",1,Each,5743.73,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-380-5102,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",10,Each,118.92,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-380-5102,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",4,Each,118.92,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,7110-DS-TAB-LE02,"TABLE, OFFICE",14,Each,211.94,A,,2015-12-02,,2015-12-02 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,7110-DS-TAB-LE02,"TABLE, OFFICE",1,Each,211.94,A,,2015-12-02,,2015-12-02 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1560-00-124-1800,"CLEVIS,LOWER,BAGGAG",2,Each,227.95,B,3,2016-01-13,,2016-01-13 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-8266,HEADSET ASSEMBLY,10,Each,54.72,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1680-00-128-7460,"YOKE,CYCLIC CONTROL",1,Each,1355.79,B,3,2016-01-15,,2016-01-15 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1620-00-168-5785,"FITTING,HANDLING,WHEEL",1,Each,424.41,B,3,2016-03-22,,2016-03-22 00:00:00,2016-04-04,all-states,Texas
