State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2009-03-09 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2009-03-09 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2009-03-09 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2009-03-09 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2010-06-10 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2010-06-10 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2010-06-10 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2010-06-10 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2009-09-10 00:00:00
DC,DHS/CBP DC,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,Q,6,2008-07-02 00:00:00
DC,DHS/CBP DC,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,C,1,2010-06-10 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
DC,DHS/CBP/PATROL NATL HQ,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,10747,F,1,2013-04-24 00:00:00
