State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
PR,AGUADA POLICE DEPARTMENT,2320-01-488-6962,TRUCK TRACTOR,1,Each,166223,A,1,2014-10-14 00:00:00
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2014-02-28 00:00:00
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2014-02-28 00:00:00
PR,AGUADA POLICE DEPARTMENT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,41447,C,1,2013-11-02 00:00:00
PR,AGUADA POLICE DEPARTMENT,2410-01-223-0350,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,87683,A,1,2015-07-24 00:00:00
PR,AGUADA POLICE DEPARTMENT,2590-01-541-4611,"PARTS KIT,SPECIALIZED",5,Kit,590.32,B,3,2013-11-14 00:00:00
PR,AGUADA POLICE DEPARTMENT,5180-00-323-4944,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,1046,Q,3,2013-11-14 00:00:00
PR,AGUADA POLICE DEPARTMENT,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,1,Each,46170,A,,2014-10-30 00:00:00
PR,AGUADA POLICE DEPARTMENT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,49897,C,1,2014-10-28 00:00:00
PR,ARECIBO POLICE DEPT,4310-01-190-0285,"COMPRESSOR UNIT,RECIPROCATING",1,Each,1000,A,1,2015-06-15 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7156,"TRUCK,UTILITY",1,Each,43376,Q,6,2011-09-28 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,41447,C,1,2012-05-15 00:00:00
PR,ARECIBO POLICE DEPT,2330-01-387-5426,"TRAILER,CARGO",2,Each,8954,A,1,2015-06-04 00:00:00
PR,ARECIBO POLICE DEPT,2815-01-257-3879,ENGINE AND CONTAINE,1,Each,49443,A,1,2015-04-14 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-05-06 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-12-15 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-12-15 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-05-06 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-12-15 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-12-15 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00
