State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
SC,AIKEN COUNTY SHERIFF DEPT,4020-00-231-2572,"ROPE,FIBROUS",2,Coil,360.79,A,1,2015-07-22 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,8415-01-461-8341,"SHIRT,COLD WEATHER",18,Each,60.25,A,1,2015-11-19 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,6105-01-528-9394,"MOTOR,ALTERNATING CURRENT",2,Each,893.13,A,1,2015-11-19 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7310-01-452-0937,STOVE KIT SURVIVAL ,160,Kit,176.28,A,1,2015-07-22 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,5120-00-243-2395,MATTOCK,6,Each,10.83,A,1,2015-07-22 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,6220-01-496-1925,"LIGHT,BLACKOUT",1,Each,27.67,A,1,2015-01-27 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7320-01-119-5579,"MEAT SLICING MACHINE,ELECTRIC",1,Each,2561.58,A,1,2014-11-20 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7010-01-500-6979,"COMPUTER SYSTEM,DIGITAL",3,Each,1104.52,A,1,2014-10-08 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,6545-01-598-4589,MES GROUND AMBULANCE,1,Set,43861.09,A,1,2014-10-09 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,4310-01-559-9547,"COMPRESSOR,RECIPROCATING",1,Each,966.83,A,1,2015-07-09 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7810-DS-ATH-SPOR,ATHLETIC AND SPORTING EQUIPMENT,7,Each,1002.05,A,,2015-07-22 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7830-DS-ELL-IPTI,ELLIPTICAL,1,Each,1953.35,A,,2015-07-22 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7810-DS-ATH-SPOR,ATHLETIC AND SPORTING EQUIPMENT,5,Each,1002.05,A,,2015-07-22 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",25,Each,365,D,1,2014-04-03 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",12,Each,365,D,1,2014-04-03 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,6240-01-447-3464,"LAMP,FLUORESCENT",10,Box,52.16,A,1,2015-01-14 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,6210-01-586-0964,"LIGHT,WARNING",15,Each,0,A,1,2015-08-11 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7830-01-368-9876,"EXERCISE MACHINE,STATIONARY BICYCLE",1,Each,2593,A,1,2014-11-07 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,8465-01-445-6274,MODULAR SLEEP SYSTEM,10,Each,263.05,A,1,2015-11-19 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,8465-01-445-6274,MODULAR SLEEP SYSTEM,24,Each,263.05,A,1,2014-12-05 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,2520-01-543-3708,"PROPELLER SHAFT,VEHICULAR",1,Each,611.97,A,1,2015-07-09 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,5410-01-519-7041,SOLAR SYSTEM TY I  ,1,Each,2008.55,A,1,2015-02-10 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,5930-00-620-6853,"SWITCH,PUSH",4,Each,186.8,A,,2015-08-11 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7021-01-577-8317,OPTIPLEX 760MT WORK,3,Each,1340,A,1,2014-10-08 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,8415-DS-GLO-VESS,"GLOVES, SAFETY",685,Pair,5,A,,2014-11-20 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,8415-DS-GLO-VESS,"GLOVES, SAFETY",400,Pair,5,A,,2014-11-20 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,4240-01-481-5907,"RAM,POWER PUSH     ",1,Each,3241.59,A,1,2014-10-09 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,2910-01-519-3768,"FILTER ELEMENT,FLUID",50,Each,13.74,A,1,2015-07-17 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,8430-01-598-5056,"BOOTS,HOT WEATHER",5,Pair,77.02,A,1,2015-11-13 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,2510-01-196-5311,"SCREEN,GRILLE TOP  ",2,Each,25.77,B,3,2013-07-17 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7025-01-574-9087,DISPLAY UNIT,6,Each,201.61,A,1,2014-10-08 00:00:00
SC,AIKEN COUNTY SHERIFF DEPT,7025-01-574-9087,DISPLAY UNIT,6,Each,201.61,A,1,2014-10-08 00:00:00
