State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
TN,ADAMSVILLE POLICE DEPARTMENT,6665-01-554-8022,"DETECTOR,EXPLOSIVE ORDNANCE",2,Each,222.85,D,1,2016-07-11 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4240-01-583-5206,"SPECTACLES,INDUSTRIAL",5,Each,49.1,A,1,2015-12-30 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-412-0143,"TRUCK,UTILITY",1,Each,83240,C,1,2015-07-06 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,7320-01-043-8468,"STRAP,CARGO        ",2,Each,10.12,A,1,2016-02-18 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,7025-DS-PRO-JEC2,"PROJECTOR, COMPUTER SCREEN",1,Each,1893.16,A,,2015-10-08 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6230-00-264-8261,FLASHLIGHT,5,Each,8.74,A,1,2016-02-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-472-6915,"OVERALLS,COLD WEATHER",2,Each,43.22,A,1,2015-12-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6230-01-411-8535,"LIGHT,MARKER,DISTRESS",3,Each,113.35,A,1,2016-02-11 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6665-01-512-7300,"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",1,Each,75313,C,1,2015-06-18 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6230-01-411-8535,"LIGHT,MARKER,DISTRESS",5,Each,113.35,A,1,2016-02-11 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-531-1753,HYDRATION SYSTEM,10,Each,72.34,A,1,2015-12-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-580-7993,HANDCUFFS,10,Each,40,A,1,2016-07-27 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4910-01-298-5479,"INFLATOR-GAGE,PNEUMATIC TIRE",1,Each,82.19,A,1,2016-06-03 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4910-01-298-5479,"INFLATOR-GAGE,PNEUMATIC TIRE",3,Each,82.19,A,1,2016-06-03 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,9390-00-948-3262,"TAPE,REFLECTIVE",1,Each,125.84,A,1,2016-02-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,3455-00-155-4523,"FILE,ROTARY",2,Each,158.79,A,,2015-12-07 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4240-01-583-4955,"GOGGLES,INDUSTRIAL",5,Each,49.1,A,1,2016-02-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-445-6274,MODULAR SLEEP SYSTEM,4,Each,263.05,A,1,2016-01-21 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6130-01-527-2726,"CHARGER,BATTERY",1,Each,1987,A,1,2016-03-04 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-458-8761,"PAD,ELBOW,CAMOUFLAG",8,Pair,11.31,A,1,2015-12-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,5120-01-473-9671,"BAR SET,PRY",1,Set,41.7,A,1,2016-02-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-524-8407,"CARRIER,INTRENCHING TOOL",8,Each,19.83,A,1,2016-01-28 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-524-8407,"CARRIER,INTRENCHING TOOL",2,Each,19.83,A,1,2015-12-30 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,3940-00-355-4883,"SLING,DRUM LIFTING",2,Each,874.9,A,1,2015-12-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8415-DS-GLO-VESS,"GLOVES, SAFETY",25,Pair,64.57,A,,2015-12-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6220-01-557-5668,"LIGHT,UTILITY,VEHICULAR",10,Each,97.09,A,1,2015-10-05 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8430-00-135-2684,"BOOTS,CLIMBERS",2,Pair,72.41,A,1,2016-03-04 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,5340-01-490-6480,"STRAP,RETAINING",10,Each,33.77,A,1,2016-01-07 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,7025-01-528-7734,"MEMORY CARD,PERSONAL COMPUTER",25,Each,6.31,D,1,2015-10-05 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-524-5285,RUCKSACK LARGE FIELD PACK,8,Each,83.36,A,1,2016-01-21 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-471-5456,"BARREL,CARBINE",2,Each,140,D,1,2016-01-04 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4010-00-927-1165,"WIRE ROPE ASSEMBLY,SINGLE LEG",2,Each,1516.67,A,1,2015-12-12 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4020-00-122-3798,"ROPE,FIBROUS",400,Foot,0.23,A,1,2015-10-02 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,5920-01-570-5395,"FUSEHOLDER,BLOCK",6,Each,8.67,A,1,2016-02-10 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",6,Each,315,D,1,2015-12-24 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,5140-01-556-9111,"TOOL BOX,PORTABLE",4,Each,457,A,1,2016-01-27 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-522-5347,"HELMET,FLYER'S",4,Each,1412.92,D,7,2016-01-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-452-5031,"COVERALLS,FLYERS",1,Each,148.18,A,1,2015-12-14 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-01-118-8173,"CANTEEN,WATER",12,Each,9.95,A,1,2015-12-17 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-517-1751,"SIGHT,HOLOGRAPHIC  ",2,Each,260,D,1,2015-12-23 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,1670-01-038-1407,"TIEDOWN,1000 LB    ",6,Each,2209.23,B,3,2016-03-16 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-097-0249,"TRUCK,TANK",1,Each,396130,Q,3,2015-04-23 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,5120-00-878-5932,"INTRENCHING TOOL,HAND",10,Each,82.05,A,1,2016-02-11 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,6545-01-530-0929,"FIRST AID KIT,UNIVERSAL",5,Kit,99.25,A,1,2016-02-02 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,3950-01-559-6290,"HOIST,WIRE ROPE",1,Each,235.02,A,1,2015-12-05 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,3830-01-502-5470,"AUGER,EARTH,TRACTOR MOUNTING",1,Each,5599,A,1,2016-01-14 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4910-01-548-6073,"JACK,DOLLY TYPE,MECHANICAL",2,Each,77.86,A,1,2016-01-07 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,9515-25-160-7454,ARMOR PLATE,6,Each,112,D,7,2016-01-19 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,4010-00-171-4512,"CHAIN,WELDLESS",1,Reel,155.25,A,1,2016-03-18 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,5180-25-160-3240,"TOOL KIT,VEHICULAR,SPECIAL PURPOSE",4,Each,327,A,,2016-02-10 00:00:00
TN,ADAMSVILLE POLICE DEPARTMENT,8465-00-860-0256,"COVER,WATER CANTEEN",10,Each,6.35,A,1,2015-12-30 00:00:00
