Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,DEMIL Code,Date Requested,Justification,Reason Cancelled
LESOHQ,1717431,AK,ALASKA DEPT OF PUBLIC SAFETY,4540,015784352,FIELD SANITATION KI,EA,1,1573.31,A,2016-11-04 19:30:05,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF ALASKA WILDLIFE TROOPERS_x000D_
THE ITEMS WILL BE USED IN THE KODIAK VESSEL SECTION FOR TROOPERS","CYCLE Agencies cant receive items in GSA Cycle.  Also, in the future please provide a justification that: we need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing."
LESOHQ,1749757,AL,ANDALUSIA POLICE DEPT,2920,014209968,"GENERATOR,ENGINE ACCESSORY",EA,1,2774,Q,2016-12-13 21:50:26,THIS GENERATOR IS FOR A HMMWV.  WE CURRENTLY HAVE ONE ON OUR INVENTORY THAT IS NOT WORKING DUE TO A BAD GENERATOR.  WE WOULD LIKE THIS ITEM TO REPAIR THAT VEHICLE.,JUSTIFICATION - Please provide a more detailed justification to why the item is needed for Law Enforcement.
LESOHQ,1726239,AL,ANNISTON POLICE DEPT,8415,015386704,"TROUSERS,EXTREME CO",EA,80,106.44,A,2016-11-16 17:14:28,ISSUED TO OFFICERS FOR EXTREME COLD WEATHER OPERATIONS,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1726236,AL,ANNISTON POLICE DEPT,8465,DSBAG0002,INDIVIDUAL BAG,EA,50,80,A,2016-11-16 17:14:28,ISSUED TO OFFICERS FOR STORAGE OF WORK RELATED GEAR AND SUPPLIES,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1726237,AL,ANNISTON POLICE DEPT,8465,014456274,MODULAR SLEEP SYSTE,EA,85,262.6,A,2016-11-16 17:14:28,ISSUED TO OFFICERS FOR EMERGENCY COLD WEATHER FIELD OPERATIONS,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1720159,AL,APOSTC LAW ENFORCEMENT ACADEMY,4240,015255085,"SPECTACLE KIT,INTER",EA,49,48.57,A,2016-11-08 08:24:24,WOULD USE DURING FIREARMS TRAINING FOR POLICE RECRUITS AND DURING CONTINUING EDUCATION CLASSES FOR POLICE OFFICERS.,"JUSTIFICATION Please provide a justification that states who the equipment will be used by, We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing."
LESOHQ,1721327,AL,APOSTC LAW ENFORCEMENT ACADEMY,4240,015255085,"SPECTACLE KIT,INTER",EA,49,48.57,A,2016-11-08 16:50:30,WE ARE A STATE POLICE ACADEMY THAT TRAINS CURRENT CERTIFIED LAW ENFORCEMENT OFFICERS AND NEW RECRUIT OFFICERS.  WE WOULD USE THESE SAFETY GLASSES AS EYE PROTECTION FOR THE OFFICERS WE TEACH DURING FIREARMS TRAINING ON THE RANGE. ,ALLOCATION Agency at allocation limit for item.
LESOHQ,1755187,AL,CEDAR BLUFF POLICE DEPT,2320,013543385,"TRUCK,CARGO",EA,1,104626,A,2016-12-20 15:13:12,"THIS TRUCK WOULD BE USED SOLELY BY OUR DEPARTMENT. ITS USES WOULD INCLUDE PATROL DURING INCLEMENT WEATHER SUCH AS FLOODS, SNOW AND ICE. IT WOULD ALSO BE EXTREMELY USEFUL TO GAIN ENTRY INTO AREAS WHERE ILLEGAL MARIJUANA IS BEING GROWN. THIS TRUCK WOULD ALLOW ENTRY BUT ALSO CARGO SPACE TO HAUL OUT THE CROP FROM THE WOODS. WITH ITS HIGH FORDING CAPACITY RECOVERING FLOOD VICTIMS AND THEIR PROPERTY WILL BE ONE OF THIS TRUCKS TASKS AS WELL.",PAPERWORK-Agency does not have approved EO Paperwork.  Please contact State Coordinator for guidance
LESOHQ,1697753,AL,CORDOVA POLICE DEPT,8465,015290599,"CARRIER,CHEMICAL-BIOLOGICAL MASK",EA,2,49.49,A,2016-10-18 22:16:44,CARRY GAS MASK ON SWAT TEAM ,"JUSTIFICATION Please provide a more detailed justification to why the item is needed for Law Enforcement.This property is located at an overseas location. If you are aware and still wish to request this property, please resubmit your requisition and add to your justification that your agency is aware that this is coming from an overseas location."
LESOHQ,1716612,AL,CORDOVA POLICE DEPT,7010,015085803,"COMPUTER SYSTEM,DIGITAL",EA,1,500,A,2016-11-04 00:56:05,USE IN DISPATCH  TO PERFORM OFFICE DUTIES ,"JUSTIFICATION Please provide a justification that states who the equipment will be used by, We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing."
LESOHQ,1723359,AL,CROSSVILLE POLICE DEPT,8470,200004941,"INSERT,FRAGMENTATION PROTECTIVE BODY ARM",PR,5,175,D,2016-11-11 09:34:09,"THESE WILL USED TO SUPPLEMENT THE ARMOR WITH THE OUTER VEST EACH OFFICER WEARS,",CANCELLED. This property has been incorrectly identified. This property is a protective material worn primarily by fire fighters and petroleum workers.
LESOHQ,1716956,AL,DOJ/FBI HAZ DEVICES SCHOOL,8465,015134083,"PACK,ASSAULT,MOLLE",EA,1,75.23,A,2016-11-04 07:43:38,TO BE USED BY SPECIAL AGENT BOMB TECHS TO CARRY ESSENTIAL GEAR.,"JUSTIFICATION Please provide a justification that states who the equipment will be used by, We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing."
LESOHQ,1716957,AL,DOJ/FBI HAZ DEVICES SCHOOL,8415,010749428,"GLOVES,COMBAT",PR,67,24.11,A,2016-11-04 07:51:05,TO BE USED BY SPECIAL AGENT BOMB TECHS DURING INCIDENTS.,"JUSTIFICATION Please provide a justification that states who the equipment will be used by, We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing."
LESOHQ,1690377,AL,DOTHAN REGIONAL AIRPORT POLICE LEA,4310,011281826,"COMPRESSOR UNIT,RECIPROCATING",EA,1,3805,A,2016-10-10 08:14:37,THIS ITEM WILL USED TO REPAIR AND MAINTAIN POLICE EQUIPMENT THAT NEEDS SERVICING AND MECHANICAL REPAIRS,JUSTIFICATION All justifications must meet the following requirements. 1. Property must be for use by the requesting agency. 2. Property must be for a law enforcement purpose use. 3. The justification itself must be convincing.
LESOHQ,1702553,AL,ETOWAH COUNTY SHERIFF DEPT,4110,DSREFEQUP,REFRIGERATION EQUIPMENT,EA,2,2000,A,2016-10-24 10:58:04,WILL BE USED FOR DEPUTY'S BREAK ROOMS AT THE SHERIFF'S OFFICE AND DETENTION CENTER,CYCLE - This item is in the GSA cycle and cannot be issue at this time.
LESOHQ,1692464,AL,FORT PAYNE POLICE DEPT,2320,011077155,"TRUCK,UTILITY",EA,1,41061,Q,2016-10-12 16:25:48,"TO BE USED FOR PATROL OFFICERS AS A UTILITY VEHICLE IN INCLEMENT WEATHER AND OTHER SPECIAL OPERATIONS, WHEN A NORMAL PATROL VEHICLE CANT BE USED.  ",CANCELLED-Issued to another LEA
LESOHQ,1698461,AL,FORT PAYNE POLICE DEPT,2320,001960976,"TRUCK,CARRYALL",EA,1,28503,A,2016-10-19 11:38:27,TO BE USED FOR PATROL DUTY AND CRIMINAL INVESTIGATION.,JUSTIFICATION - Please provide a more detailed justification to why the item is needed forLaw Enforcement.
LESOHQ,1739642,AL,FORT PAYNE POLICE DEPT,6545,015294185,"FIRST AID KIT,GENER",EA,34,194.22,A,2016-11-30 10:21:31,"TO BE ISSUED TO ALL OFFICERS FOR A INDIVIDUAL FIRST AID KIT FOR THEMSELVES OR OTHERS, DURING EMERGENCY SITUATIONS, AND TO BE STORED IN THEIR VEHICLES ",RECEIPTS...Agency has overdue receipts.  LESO will not issue additional property until all overdue receipts are submitted and approved.
LESOHQ,1739671,AL,FORT PAYNE POLICE DEPT,6545,DSMEDSETK,"REPLENISHABLE FIELD MEDICAL SETS, KITS",EA,5,134,A,2016-11-30 11:09:01,TO BE USED FOR MEDICAL EMERGENCIES FOR PATROL OFFICERS AND STORED IN VEHICLES AND AT OFFICE ,RECEIPTS...Agency has overdue receipts.  LESO will not issue additional property until all overdue receipts are submitted and approved.
