State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
DE,BETHANY BEACH POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-02-23 00:00:00
DE,BRIDGEVILLE POLICE DEPT,2510-01-519-8221,"DOOR,VEHICULAR",2,Each,4864.2,D,1,2011-11-02 00:00:00
DE,BRIDGEVILLE POLICE DEPT,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",2,Each,0,A,,2016-01-14 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2011-08-11 00:00:00
DE,BRIDGEVILLE POLICE DEPT,2330-01-592-9000,"TRAILER,MAINTENANCE",1,Each,11000,A,1,2016-01-14 00:00:00
DE,BRIDGEVILLE POLICE DEPT,2510-01-519-8219,"DOOR,VEHICULAR",2,Each,4864.2,B,3,2011-11-02 00:00:00
DE,BRIDGEVILLE POLICE DEPT,8470-01-506-0938,"HELMET,GROUND TROOPS",5,Each,269.76,D,1,2011-11-14 00:00:00
DE,BRIDGEVILLE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-04-29 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",8,Each,1025,Q,0,2015-05-14 00:00:00
DE,BRIDGEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2011-10-31 00:00:00
