State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MT,ANACONDA DEER LODGE CTY POLICE DEPT,2320-00-072-1450,"TRUCK,LUBRICATING AND FUEL SERVICING",1,Each,90535,Q,3,2010-11-12 00:00:00
MT,ANACONDA DEER LODGE CTY POLICE DEPT,1450-01-287-7003,"TRAILER,MAINTENANCE-REPAIR PARTS,GUIDED MISSILE SYSTEM",1,Each,137814,B,3,2010-03-21 00:00:00
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2004-03-29 00:00:00
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2004-03-29 00:00:00
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2004-03-29 00:00:00
MT,BAKER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1997-10-09 00:00:00
MT,BAKER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-05 00:00:00
MT,BAKER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-05 00:00:00
MT,BAKER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1997-10-09 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2005-04-04 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1993-11-03 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2005-04-04 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1993-11-03 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1993-11-03 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1993-11-03 00:00:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2005-04-04 00:00:00
