State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NV,CARLIN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2012-01-30 00:00:00
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-04-20 00:00:00
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-04-20 00:00:00
NV,CARLIN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2012-01-30 00:00:00
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-04-20 00:00:00
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-04-20 00:00:00
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2000-07-18 00:00:00
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2000-07-18 00:00:00
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-03-07 00:00:00
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2000-07-18 00:00:00
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2000-07-18 00:00:00
NV,CARLIN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-01-30 00:00:00
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2000-07-18 00:00:00
NV,CARLIN POLICE DEPT,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",2,Each,6655.86,C,1,2008-08-14 00:00:00
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-04-20 00:00:00
NV,CARSON CITY SHERIFF OFFICE,8415-01-422-8753,"VEST,MEDICAL TRAUMA",2,Each,308.6,A,1,2016-10-25 00:00:00
NV,CARSON CITY SHERIFF OFFICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2016-10-03 00:00:00
NV,CARSON CITY SHERIFF OFFICE,8465-01-573-3651,SNOWSHOES,20,Each,244,A,1,2016-09-22 00:00:00
NV,CARSON CITY SHERIFF OFFICE,6515-01-477-6128,"CASE,AIRWAY        ",3,Each,651.4,A,1,2016-10-25 00:00:00
NV,CARSON CITY SHERIFF OFFICE,6515-01-504-6492,"PADDLE ASSY,DEFIBRILLATOR,EXTERNAL",1,Each,665.07,A,1,2016-10-25 00:00:00
NV,CARSON CITY SHERIFF OFFICE,6230-01-428-3755,"LIGHT,MARKER,GROUND OBSTRUCTION",186,Each,20.11,A,1,2016-10-25 00:00:00
NV,CARSON CITY SHERIFF OFFICE,8415-00-857-4915,"HELMET,SAFETY",10,Box,150.66,A,1,2016-08-16 00:00:00
NV,CARSON CITY SHERIFF OFFICE,2510-01-330-6174,"DOOR,VEHICULAR",1,Each,116.19,A,1,2016-10-25 00:00:00
NV,CARSON CITY SHERIFF OFFICE,2510-01-330-6174,"DOOR,VEHICULAR",1,Each,116.19,A,1,2016-10-25 00:00:00
