State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,DEMIL Code,Date Shipped,Justification
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ70802905,1005,016309508,"MAGAZINE,CARTRIDGE",EA,58,11.200000000000001,D,2017-04-04 00:00:00,TO BE ISSUED TO PUBLIC SAFETY MEMBERS FOR TRAINING AND DUTY USE.
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ70833974,7830,DSELLIPTI,ELLIPTICAL,EA,1,5000,A,2017-04-04 00:00:00,TO BE ISSUED TO A PUBLIC SAFETY HIGHWAY POST FOR IT'S PUBLIC SAFETY MEMBERS TO CONDUCT PHYSICAL TRAINING.  THE TRAINING WILL ENABLE MEMBERS TO BE AT A HIGHER FITNESS LEVEL WHICH MAKES THEM SAFER ON DUTY.
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ71040172,8415,014571561,"GLOVES,COLD WEATHER",PR,35,71.64,A,2017-04-17 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF STATE TROOPERS_x000D_
THESE WILL BE ISSUED TO TROOPERS. WITH THE CURRENT STATE BUDGET THESE ITEMS WILL BE HELPFUL TO SAVE OUR COST."
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ71040169,8415,014571557,"GLOVES,COLD WEATHER",PR,5,71.64,A,2017-04-17 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF STATE TROOPERS_x000D_
THESE WILL BE ISSUED TO TROOPERS.WITH THE CURRENT STATE BUDGET THESE ITEMS WILL BE HELPFUL TO SAVE OUR COST."
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ71040166,8415,014571549,"GLOVES,COLD WEATHER",PR,3,71.64,A,2017-04-17 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
ALASKA STATE TROOPERS_x000D_
THESE WILL BE ISSUED TO TROOPERS WORKING IN ALASKA.WITH THE CURRENT STATE BUDGET THESE ITEMS WILL BE HELPFUL TO SAVE OUR COST."
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ71040152,5180,014609328,"TOOL KIT,ELECTRONIC",EA,5,1147,A,2017-04-17 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF WILDLIFE TROOPERS_x000D_
THE TOOLS KITS WILL BE ISSUED IN OUR AIRCRAFT, AND VESSEL MAINTENANCE SECTION TO BE USED. "
AK,ALASKA DEPT OF PUBLIC SAFETY,2YTPEJ71040164,8415,014571561,"GLOVES,COLD WEATHER",PR,30,71.64,A,2017-04-17 00:00:00,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF STATE TROOPERS_x000D_
THE GLOVES WILL BE ISSUED TO TROOPERS SERVING IN ALASKA.WITH THE CURRENT STATE BUDGET THESE ITEMS WILL BE HELPFUL TO SAVE OUR COST."
AL,ABBEVILLE POLICE DEPT,2YTAAF71070747,7025,DSPROJEC2,"PROJECTOR, COMPUTER SCREEN",EA,1,4000,A,2017-05-01 00:00:00,ABBEVILLE PD COULD USE THIS ITEM FOR CLASSROOM SETTING TRAINING.
AL,ABBEVILLE POLICE DEPT,2YTAAF71224766,2805,013507828,"OUTBOARD MOTOR,GASOLINE",EA,1,9000,A,2017-05-16 00:00:00,ABBEVILLE PD WAS AWARDED A SMALL CRAFT WITH A MOTOR FOR OUR SEARCH AND RESCUE AS WELL AS WATER TO LAND INSERTION OF OUR SWAT TEAM. OUR COUNTY IS BORDERED TOTALLY ON THE EAST SIDE BY WATER. THE SMALL CRAFT WE WERE AWARDED HAD A MOTOR BUT THE MOTOR IS NOT REPAIRABLE. THIS MOTOR WOULD REPLACE THE MOUNTED MOTOR AND MAKE THE AWARDED CRAFT USEFUL.
AL,ABBEVILLE POLICE DEPT,2YTAAF71564627,8145,014670448,"CONTAINER,SPECIAL",EA,1,56695.79,A,2017-06-14 00:00:00,"ABBEVILLE PD COULD USE THIS ITEM FOR HOUSING THE INFRASTRUCTURE TO OUR NEW COMMUNICATION SYSTEM. THE ITEM WILL BE CLIMATE CONTROLLED AND SECURE FOR THE THE SYSTEMS REPEATER, COMBINER, AS WELL AS OTHER VITAL COMMUNICATION RELATED EQUIPMENT."
AL,ALEXANDER CITY POLICE DEPT,2YTAE671018851,1240,014111265,"SIGHT,REFLEX",EA,1,336,D,2017-04-20 00:00:00,"THESE SIGHTS WILL HELP OFFFICER BE MORE PROFICIENT IN THE USE OF THEIR PATROL RIFLES WHILE FACING ACTIVE SHOOTERS OR OFFICER DOWN SCENERIOS. _x000D_
 THEY WILL ASSIST IN IDENTIFING POSSIBLE TARGETS AND MAINTAIN SAFETY FOR THE OFFICERS AND PUBLIC"
AL,ALEXANDER CITY POLICE DEPT,2YTAE671018842,1240,014111265,"SIGHT,REFLEX",EA,9,336,D,2017-04-20 00:00:00,OFFICER ARE FACING ACTIVE SHOOTER AND AMBUSH ATTACKS IN TODAY'S WORLD.  THESE SIGHTS WILL ASSIST THE OFFICER IN IDENTIFING A POTENTUAL TARGET FROM A SAFE DISTANCE ADN BE MORE PROFICENT WITH THE PATROL RIFLES.  THIS WILL MAKE THE SCENE SAFER FOR THEM AND THE PUBLIC
AL,ALEXANDER CITY POLICE DEPT,2YTAE671091383,1240,014903413,"RANGE FINDER,LASER",EA,4,1,D,2017-04-24 00:00:00,"  DUE TO THE GROWING THREAT OF ACTIVE SHOOTERS, TERRORIST ATTACKS AND THE GROWING ARSENAL OF THE ARMED CRIMINAL ELEMENT THAT LAW ENFORCEMENT FACES, THESE COULD BE USED BY OUR FOUR SNIPER TEAMS TO BE BETTER PREPARED AS INTELLIGENCE, RECON, AND MARKSMEN. "
AL,ALEXANDER CITY POLICE DEPT,2YTAE671029141,5820,012842614,"MONITOR,TELEVISION",EA,1,1380.89,A,2017-04-25 00:00:00,THIS ITEM WOULD BE USED IN OUR RANGE HOUSE.  IT WOULD GIVE US THE ABILITY TO UPGRADE OUR  DATED SYSTEM.  IT WOULD MAKE IT POSSIBLE TO SHOW AUTOMATED LEARNING SYSTEMS IN A CLEAR PICTURE.   THIS WOULD ENHANCE THE TRAINING OUR OFFICERS RECEIVE.  
AL,ALEXANDER CITY POLICE DEPT,2YTAE671029139,6115,013908654,"GENERATOR,ALTERNATI",EA,1,3817.52,A,2017-04-25 00:00:00,THIS WOULD BE USED WITH OUR MOBILE COMMAND STATION TO HELP POWER COMPUTERS AND OTHER ELRECTRONICS NEEDED.  IT WOULD ALSO BE USED TO GENERATE POWER FOR SHELTOR STATION BY THE POLICE DEPARTMENT FOR VICITMS OF INCLIMENT WEATHER.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671029136,4910,013539944,"WASHER,PRESSURE,POR",EA,1,696.3000000000001,A,2017-04-25 00:00:00,OFFICER HAVE TO MAINTAIN UP KEEP OF THE POLICE DEPARTMENT FIRING RANGE.  THIS WOULD ENABLE TO KEEP THE RANGE IN SAFE AND TRAINABLE CONDITIONS FOR THE OFFICERS. 
AL,ALEXANDER CITY POLICE DEPT,2YTAE671070731,7830,015595964,"CROSSTRAINER,ELLIPT",EA,1,689,A,2017-04-25 00:00:00,  THIS EQUIPMENT WOULD BE PLACED INTO A GYM FOR THE POLICE OFFICERS.  IT WILL HELP THEM TO KEEP THEIR PHYSICAL CONDITIONING AND RESULT IN LESS INJURIES TO THE OFFICERS WHILE CONDUCTING THE PHYSICALLY STRENUOUS WORK OF LAW ENFORCEMENT. 
AL,ALEXANDER CITY POLICE DEPT,2YTAE671040291,7025,DSPROJEC2,"PROJECTOR, COMPUTER SCREEN",EA,3,4000,A,2017-04-26 00:00:00,THE PROJECTOR WILL BE USED IN THE TRAINING CLASSES PUT ON THROUGHOUT THE DEPARTMENT. THIS WILL ENHANCE THE OFFICERS ABILITY TO SAFELY AND EFFICIENTLY WORK. 
AL,ALEXANDER CITY POLICE DEPT,2YTAE671028935,1240,014111265,"SIGHT,REFLEX",EA,40,336,D,2017-04-27 00:00:00,"  OFFICER FACE ACTIVE SHOOTER AND  A PROGRESSIVELY ARMED CRIMINAL FACTOR, ALONG WITH POSSIBLE TERRORIST ACTIONS.  THESE SIGHTS WILL ASSIST IN THE IDENTIFYING POSSIBLE THREATS AND MAKING THEIR PATROL RIFLES MORE PRECISION, IMPROVING THE SAFETY OF THE OFFICER AND CITIZENS."
AL,ALEXANDER CITY POLICE DEPT,2YTAE671101821,6545,015300929,"FIRST AID KIT,UNIVE",KT,60,109.29,A,2017-04-28 00:00:00,"DUE TO THE GROWING NUMBER OF LAW ENFORCMENT ASSUALTS IN THE U.S, THESE KITS WILL BRING LIFE SAVIENG EQUIPMENT INTO REACH OF OUR OFFICERS."
