Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Demil Code,Date Requested,Justification,Reason Cancelled
LESOHQ,1827907,AK,ALASKA DEPT OF PUBLIC SAFETY,8465,014456274,MODULAR SLEEP SYSTE,EA,3,262.6,A,2017-04-12 21:27:51,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF ALASKA WILDLIFE TROOPERS_x000D_
THESE SLEEP MODULAR WILL BE DISTRIBUTED TO TROOPERS IN RURAL AREAS.",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1828682,AK,ALASKA DEPT OF PUBLIC SAFETY,5180,014609328,"TOOL KIT,ELECTRONIC",EA,5,1147,A,2017-04-13 16:33:37,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF ALASKA WILDLIFE TROOPERS_x000D_
THE TOOL KIT WILL BE ISSUED TO THE AIRCRAFT AND THE VESSEL MAINTENANCE SECTION FOR THE MECHANICS TO USED.",RECEIPTS: Your Agency has one overdue pending receipt in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,1827908,AK,ALASKA DEPT OF PUBLIC SAFETY,5180,014609328,"TOOL KIT,ELECTRONIC",EA,5,1147,A,2017-04-12 21:27:51,"DEPARTMENT OF PUBLIC SAFETY_x000D_
DIVISION OF WILDLIFE TROOPERS, AIRCRAFT SECTION_x000D_
THE TOOL KIT WILL BE DISTRIBUTED TO AIRCRAFT MAINTENANCE AND VESSEL MAINTENANCE SECTIONS FOR THEIR USE._x000D_
",CANCELLED:  LESO HQ is unable to approve your request for property. The Requestor and Approver cannot be the same person.
LESOHQ,1844046,AL,ABBEVILLE POLICE DEPT,2805,013507828,"OUTBOARD MOTOR,GASOLINE",EA,1,9000,A,2017-05-01 16:08:41,ABBEVILLE PD COULD USE THIS MOTOR TO REPLACE THE ALREADY AWARDED ONE THAT IS SEIZED UP AND NO GOOD.,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1847907,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847904,AL,ALEXANDER CITY POLICE DEPT,6510,015490939,"DRESSING,CHEST SEAL",PG,60,191.79,A,2017-05-06 09:31:58,THESE WILL BRING LIFE SAVING EQUIPMENT TO THE OFFICERS IN CASE ONE OF THIER PARTNERS GET HURT AND RECIEVE A OPEN PNEUMOTHORAX (SUCKING CHEST WOUND).,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1829367,AL,ALEXANDER CITY POLICE DEPT,3750,008924740,"MOWER,LAWN,POWER",EA,1,630.99,A,2017-04-14 16:39:30,"  OFFICER HAVE TO KEEP UP THE SHOOTING RANGE FOR THE POLICE DEPARTMENT.  THIS MOWER WOULD BE USED IN KEEPING THE YARD MANICURED, WHICH MAKES FOR SAFER TRAINING FACILITY.",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1837643,AL,ALEXANDER CITY POLICE DEPT,6720,DSDIGITA0,"CAMERA, DIGITAL",EA,4,500,A,2017-04-20 08:16:41,THESE CAMERAS WOULD HELP PATROL OFFICERS HAVE THE CAPABILITY TO PHOTOGRAPH CRIME SCENES.  THE PHOTOS WOULD BE USED TO BRING A REAL LIFE SINCE OF WHAT THE CRIME SCENE WAS LIKE AT THE TIME OF A CRIME TO A JURY OR JUDGE.,LLED:  Item has already been approved for another agency.
LESOHQ,1847905,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1843092,AL,ALEXANDER CITY POLICE DEPT,7830,DSRECGYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,EA,1,500,A,2017-04-28 21:21:55,"DUE TO THE STRENUOUS JOB OF LAW ENFORCEMENT, THIS WOULD BE PLACED INTO A GYM FOR THE OFFICERS TO BELTER CONDITION THEIR BODIES FOR THE JOB",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847906,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847913,AL,ALEXANDER CITY POLICE DEPT,6515,014630909,"DEFIBRILLATOR,EXTER",EA,1,3018.46,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847912,AL,ALEXANDER CITY POLICE DEPT,6515,014630909,"DEFIBRILLATOR,EXTER",EA,1,3018.46,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847911,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847910,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847909,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1847908,AL,ALEXANDER CITY POLICE DEPT,6515,015212371,"DEFIBRILLATOR,AED,B",EA,1,14457.130000000001,A,2017-05-06 09:45:58,THIS WOULD PLACE LIFE SAVING EQUIPMENT IN OUR PPATROL VEHICLE THAT WOULD BE AVAILABEL TO THE OFFICERS OF OUR DEPARTMENT.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1883014,AL,ALEXANDER CITY POLICE DEPT,8145,014977764,"SHIPPING AND STORAGE CONTAINER,COMMUNICA",EA,2,50,A,2017-06-23 17:35:52,  THESE WILL BE PLACED INT HE TRUNCKS OF POATROL CARS TO HELP ORGANIZE THE EQUIPMENT IN THE BACK.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,1873239,AL,BLOUNT COUNTY SHERIFF OFFICE,2320,007529812,"TRUCK,CARRYALL",EA,1,21046,A,2017-06-13 09:13:30,THE VAN WILL BE USED TO TRANSPORT INMATES TO AND FROM COURT AND USED FOR THE TRANSPORTATION OF ITEMS FOR THE JAIL AND TO SEND OUT CLEAN UP CREWS TO PICK UP TRASH ON THE SIDES OF THE ROADS ,CANCELLED:  Item(s) has already been approved for the DoD Fire Fighter program.
LESOHQ,1873310,AL,BLOUNT COUNTY SHERIFF OFFICE,2320,DSPICKUP0,PICKUP,EA,1,22078.600000000002,A,2017-06-13 10:18:46,THE TRUCK WILL BE USED FOR DEPARTMENT MAINTENANCE AT THE OFFICE AT THE JAIL AND AT THE RANGE TO HALL LAWN MOWERS AND OTHER EQUIPMENT AND WILL ALSO BE USED FOR THE ROAD CREW OF INMATES THAT ARE SENT OUT TO PICK UP TRASH ON THE SIDES OF THE ROADWAYS WITH IN THE COUNTY   ,JUSTIFICATION: Please clarify use of vehicles for inmates as it reads they will be sent out with the van. The provided justification was hard to understand. Please clarify entirely.
LESOHQ,1873311,AL,BLOUNT COUNTY SHERIFF OFFICE,2320,DSPICKUP0,PICKUP,EA,1,20973.66,A,2017-06-13 10:18:46,THE TRUCK WILL BE USED FOR DEPARTMENT MAINTENANCE AT THE OFFICE AT THE JAIL AND AT THE RANGE TO HALL LAWN MOWERS AND OTHER EQUIPMENT AND WILL ALSO BE USED FOR THE ROAD CREW OF INMATES THAT ARE SENT OUT TO PICK UP TRASH ON THE SIDES OF THE ROADWAYS WITH IN THE COUNTY   ,JUSTIFICATION: Please clarify use of vehicles for inmates as it reads they will be sent out with the van. The provided justification was hard to understand. Please clarify entirely.
LESOHQ,1873312,AL,BLOUNT COUNTY SHERIFF OFFICE,2310,DSVAN0000,VAN,EA,1,19594,A,2017-06-13 10:18:46,THE TRUCK WILL BE USED FOR DEPARTMENT MAINTENANCE AT THE OFFICE AT THE JAIL AND AT THE RANGE TO HALL LAWN MOWERS AND OTHER EQUIPMENT AND WILL ALSO BE USED FOR THE ROAD CREW OF INMATES THAT ARE SENT OUT TO PICK UP TRASH ON THE SIDES OF THE ROADWAYS WITH IN THE COUNTY   ,JUSTIFICATION: Please clarify use of vehicles for inmates as it reads they will be sent out with the van. The provided justification was hard to understand. Please clarify entirely.
