State,Requesting Agency Name,Equipment Requested,Quantity Approved,Date Request was Approved (Pending Allocation)
AL,Abbeville PD,Peacekeeper,1,2016-08-09 00:00:00
AL,Bear Creek PD,HMMWV,3,2016-05-05 00:00:00
AL,Blountsville PD,MRAP,1,2017-06-06 00:00:00
AL,Blountsville PD,Truck Tractor,1,2017-06-06 00:00:00
AL,Blountsville PD,Truck Dump,1,2017-06-06 00:00:00
AL,Blountsville PD,HMMWV,1,2017-06-06 00:00:00
AL,Blountsville PD,HMMWV,1,2017-06-06 00:00:00
AL,Blountsville PD,UAH,1,2017-06-06 00:00:00
AL,Blountsville PD,UAH,1,2017-06-06 00:00:00
AL,Cullman CSO,Truck Utility,4,2017-03-10 00:00:00
AL,Cullman CSO,UAH,1,2017-03-10 00:00:00
AL,Dadeville PD,HMMWV,3,2016-05-05 00:00:00
AL,Dauphin Island PD,HMMWV,1,2016-09-30 00:00:00
AL,Dothan PD,MRAP,1,2017-04-12 00:00:00
AL,Fort Payne PD,HMMWV,1,2016-06-20 00:00:00
AL,Fort Payne PD,HMMWV,1,2016-06-20 00:00:00
AL,Fort Payne PD,HMMWV,1,2016-06-20 00:00:00
AL,Fort Payne PD,HMMWV,1,2016-06-20 00:00:00
AL,Fort Payne PD,HMMWV,1,2016-06-20 00:00:00
AL,Fort Payne PD,MRAP,1,2016-06-20 00:00:00
AL,Guntersville PD,HMMWV,8,2016-01-11 00:00:00
AL,Guntersville PD,Truck Tractor,2,2016-01-11 00:00:00
AL,Guntersville PD,MRAP,4,2016-01-11 00:00:00
AL,Jacksonville PD,HMMWV,2,2016-02-11 00:00:00
AL,Lauderdale CSO,HMMWV,3,2017-05-17 00:00:00
AL,Leighton PD,HMMWV,2,2016-10-25 00:00:00
AL,Limestone County SO,MRAP,1,2016-01-11 00:00:00
AL,Russell CSO,Truck Utility,2,2017-04-12 00:00:00
AL,Tuscaloosa PD,Truck Cargo,1,2016-01-11 00:00:00
AL,Tuscaloosa PD,Truck Cargo,1,2016-01-11 00:00:00
AL,Tuscaloosa PD,HMMWV,1,2016-01-11 00:00:00
AL,Tuscaloosa PD,HMMWV,1,2016-01-11 00:00:00
AL,Wadley PD,HMMWV,1,2016-08-09 00:00:00
AL,Wadley PD,HMMWV,1,2016-08-09 00:00:00
AL,Walker County SO,"Breaching Apparatus
Riot Helmets
Riot Shields","2
20
5",2016-04-19 00:00:00
AL,Walker County SO,HMMWV,1,2016-05-05 00:00:00
AL,Walker County SO,HMMWV,1,2016-05-05 00:00:00
AL,Winfield PD,HMMWV,1,2016-01-11 00:00:00
AL,Winfield PD,HMMWV,1,2016-01-11 00:00:00
AR,Benton CSO,HMMWV,3,2017-04-13 00:00:00
AR,Lawrence CSO,Truck Cargo,1,2017-06-06 00:00:00
AR,North Little Rock PD,UAH,1,2017-04-13 00:00:00
AR,Ozark PD,"Van, Truck",1,2015-12-08 00:00:00
AR,Prairie CSO     ,HMMWV,1,2016-08-18 00:00:00
AR,Prairie CSO     ,HMMWV,1,2016-08-18 00:00:00
AR,Saline CSO,UAH,2,2017-01-24 00:00:00
AR,Siloam Springs PD,UAH,2,2016-12-19 00:00:00
AZ,Avondale PD,HMMWV,1,2017-04-19 00:00:00
AZ,Clarkdale Police Dept,"Truck, Cargo",1,2016-06-20 00:00:00
AZ,Prescott PD,HMMWV,2,2017-02-16 00:00:00
AZ,Superior PD,HMMWV,3,2016-04-26 00:00:00
AZ,Superior PD,"Truck, Cargo",1,2016-11-30 00:00:00
CA,Blythe PD,UAH,1,2017-05-17 00:00:00
CA,Marina PD,MRAP,1,2016-08-09 00:00:00
CA,Newark PD,HMMWV,1,2017-06-30 00:00:00
CO,Elbert County SO,"Carrier, cargo",1,2016-06-08 00:00:00
CO,Elbert County SO,"Truck, Cargo",2,2016-06-08 00:00:00
CO,Grand CSO,Peacekeeper,1,2017-01-05 00:00:00
CO,Otero County SO,MRAP,1,2016-01-06 00:00:00
CO,Platteville PD,HMMWV,1,2015-12-08 00:00:00
CO,Saguache CSO,UAH,2,2017-01-06 00:00:00
CT,Bridgeport PD,MRAP,1,2016-10-04 00:00:00
CT,Bristol PD,UAH,1,2017-04-12 00:00:00
CT,Groton Town PD,UAH,1,2017-05-10 00:00:00
CT,Middlebury PD,HMMWV,1,2017-06-15 00:00:00
CT,Newtown PD,HMMWV,1,2016-08-09 00:00:00
CT,Newtown PD,UAH,1,2017-02-16 00:00:00
CT,State Police,UAH,1,2017-02-28 00:00:00
CT,West Haven DPS,MRAP,1,2016-01-06 00:00:00
DE,Dover PD,HMMWV,1,2016-06-20 00:00:00
DE,New Castle County PD,MRAP,2,2016-01-27 00:00:00
FL,Brooksville PD,HMMWV,5,2016-04-07 00:00:00
FL,Calhoun County SO,MRAP,1,2016-02-11 00:00:00
FL,Clay CSO,HMMWV,1,2017-06-06 00:00:00
FL,Clay CSO,HMMWV,1,2017-06-06 00:00:00
FL,Clearwater PD,HMMWV,2,2016-10-25 00:00:00
FL,Clermont PD,MRAP,1,2016-09-30 00:00:00
FL,Flagler CSO,Truck Cargo,1,2017-06-30 00:00:00
FL,Flagler CSO,Truck Cargo,1,2017-06-30 00:00:00
FL,Hialeah PD,HMMWV,2,2016-09-16 00:00:00
FL,Juno Beach PD,HMMWV,1,2016-08-09 00:00:00
FL,Okeechobee Sheriffs Office,MRAP,1,2016-05-05 00:00:00
FL,Pasco CSO,MRAP,1,2016-06-20 00:00:00
FL,Pasco CSO,"Truck, Cargo",1,2016-11-30 00:00:00
FL,Pasco CSO,"Truck, Cargo",1,2016-11-30 00:00:00
FL,Pembroke Pines PD,MRAP,1,2016-01-27 00:00:00
FL,Plant City PD,MRAP,1,2016-01-06 00:00:00
FL,Port St. Joe PD,HMMWV,1,2016-01-27 00:00:00
FL,Sebastian PD,UAH,1,2017-03-28 00:00:00
FL,Temple Terrace PD,HMMWV,1,2017-03-28 00:00:00
GA,Abbeville PD,HMMWV,1,2015-10-15 00:00:00
GA,Breman PD,Breaching Apparatus,2,2015-11-10 00:00:00
GA,Breman PD,Riot Batons,5,2015-11-10 00:00:00
GA,Breman PD,Riot Helmets,5,2015-11-10 00:00:00
GA,Breman PD,Riot Shields,5,2015-11-10 00:00:00
GA,Breman PD,HMMWV,1,2016-11-30 00:00:00
GA,Breman PD,HMMWV,1,2016-11-30 00:00:00
GA,Breman PD,HMMWV,1,2016-11-30 00:00:00
GA,Bremen PD,HMMWV,1,2015-12-08 00:00:00
GA,Bremen PD,HMMWV,1,2015-12-08 00:00:00
GA,Burke CSO,HMMWV,1,2017-02-07 00:00:00
GA,Burke CSO,HMMWV,1,2017-02-07 00:00:00
GA,Burke CSO,HMMWV,1,2017-02-07 00:00:00
GA,Burke CSO,HMMWV,1,2017-02-07 00:00:00
GA,Burke CSO,MRAP,1,2017-03-03 00:00:00
GA,Burke CSO,UAH,2,2017-03-03 00:00:00
GA,Camden County SO,HMMWV,2,2016-03-16 00:00:00
GA,Chatsworth PD,HMMWV,2,2015-12-08 00:00:00
GA,Columbia CSO,UAH,2,2017-05-10 00:00:00
GA,Cornelia PD,HMMWV,4,2016-03-16 00:00:00
GA,Cornelia PD,MRAP,1,2015-12-15 00:00:00
GA,Elbert County SO,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","32
32
32
32",2016-04-07 00:00:00
GA,Elbert County SO,HMMWV,5,2016-04-07 00:00:00
GA,Fannin CSO,HMMWV,11,2016-05-05 00:00:00
GA,Forsyth CSO,Riot Shields,37,2017-06-15 00:00:00
GA,Forsyth CSO,Truck Cargo,1,2017-06-15 00:00:00
GA,Forsyth CSO,Truck Cargo,1,2017-06-15 00:00:00
GA,GA Public Safety Training Center,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","29
29
29
29",2016-04-19 00:00:00
GA,GA Public Safety Training Center,HMMWV,5,2016-06-20 00:00:00
GA,Greene CSO,HMMWV,2,2016-10-25 00:00:00
GA,Lumpkin PD,HMMWV,1,2017-05-10 00:00:00
GA,Newnan PD,HMMWV,20,2016-10-26 00:00:00
GA,Perry PD,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","5
39
39
39",2016-08-17 00:00:00
GA,Perry PD,HMMWV,5,2016-08-18 00:00:00
GA,Spalding CSO,UAH,1,2017-05-23 00:00:00
GA,Spalding CSO,HMMWV,5,2017-05-23 00:00:00
GA,Swainsboro PD,HMMWV,7,2016-12-19 00:00:00
GA,Swainsboro PD,UAH,2,2017-04-19 00:00:00
GA,Taliaferro CSO,HMMWV,1,2017-04-13 00:00:00
GA,Taliaferro CSO,UAH,1,2017-04-13 00:00:00
GA,Tallapoosa PD,HMMWV,4,2016-11-30 00:00:00
GA,Tattnall County SO,MRAP,1,2017-03-23 00:00:00
GA,Tattnall County SO,Truck Utility,4,2017-03-23 00:00:00
GA,Tattnall County SO,UAH,1,2017-03-23 00:00:00
GA,Warner Robins PD,Armored Breaching Vehicle,2,2016-12-15 00:00:00
GA,Warner Robins PD,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","10
150
150
150",2015-11-10 00:00:00
GA,Warner Robins PD,HMMWV,5,2015-12-08 00:00:00
ID,Clark County SO,MRAP,1,2016-01-27 00:00:00
ID,Idaho County SO,MRAP,1,2016-01-27 00:00:00
ID,Lewiston PD,HMMWV,1,2016-01-27 00:00:00
ID,Rigby PD,Tractor Truck,1,2016-02-29 00:00:00
IL,Coles CSO,HMMWV,1,2016-06-20 00:00:00
IL,Fondulac Park District Police,Truck Utility,1,2017-04-28 00:00:00
IL, Green Valley PD,"Hemtt, Cargo Tuck",1,2016-04-07 00:00:00
IL, Green Valley PD,HMMWV,1,2017-06-30 00:00:00
IL,Knox County SO,MRAP,1,2016-02-29 00:00:00
IL,Piatt CSO,HMMWV,1,2016-06-20 00:00:00
IL,Schuyler CSO,HMMWV,2,2016-12-19 00:00:00
IN,Attica PD,HMMWV,2,2016-01-27 00:00:00
IN,Clay CSO,MRAP,1,2016-09-01 00:00:00
IN,Evansville PD,UAH,4,2017-06-06 00:00:00
IN,Evansville PD,Dump Truck,1,2016-02-20 00:00:00
IN,Evansville PD,Dump Truck,1,2016-02-20 00:00:00
IN,Evansville PD,HMMWV,1,2016-04-15 00:00:00
IN,Evansville PD,HMMWV,1,2016-04-15 00:00:00
IN,Evansville PD,HMMWV,1,2016-04-15 00:00:00
IN,Evansville PD,HMMWV,1,2016-04-15 00:00:00
IN,Evansville PD,Riot Shields,35,2016-03-16 00:00:00
IN,Hancock CSO,HMMWV,1,2016-02-29 00:00:00
IN,Hancock CSO,V 150,1,2017-04-13 00:00:00
IN,Lawrence PD,HMMWV,1,2016-02-11 00:00:00
IN,Milford PD,HMMWV,1,2016-02-22 00:00:00
IN,Scott CSO,MRAP,1,2017-05-23 00:00:00
KS,Montgomery CSO,HMMWV,1,2016-08-09 00:00:00
KS,Montgomery CSO,HMMWV,1,2016-08-09 00:00:00
KS,Montgomery CSO,HMMWV,1,2016-08-09 00:00:00
KS,Montgomery CSO,UAH,1,2017-05-17 00:00:00
KY,Alexandria PD,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","3
17
10
17",2016-03-22 00:00:00
KY,Alexandria PD,HMMWV,2,2016-04-04 00:00:00
KY,Bullitt County SO,MRAP,1,2016-02-11 00:00:00
KY,Campbellsville PD,Dump Truck,2,2016-08-18 00:00:00
KY,Campbellsville PD,HMMWV,1,2016-08-18 00:00:00
KY,Campbellsville PD,"Truck, Cargo",1,2016-08-18 00:00:00
KY,Franklin Co So,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","42
42
42
42",2016-08-12 00:00:00
KY,Green County SO,HMMWV,3,2016-02-29 00:00:00
KY,Johnson County SO,HMMWV,2,2016-02-29 00:00:00
KY,Lancaster PD,Maint Truck,1,2016-08-16 00:00:00
KY,Madisonville PD,Riot Shields,21,2017-03-03 00:00:00
KY,Mason County SO,HMMWV,2,2016-02-29 00:00:00
KY,Metcalfe CSD,"Truck, Cargo",1,2016-11-30 00:00:00
KY,Monticello PD,"Truck, Cargo",2,2016-08-09 00:00:00
KY,Morehead PD,HMMWV,1,2016-10-05 00:00:00
KY,Mount Vernon PD,HMMWV,1,2016-02-11 00:00:00
KY,Winchester PD,HMMWV,3,2016-01-27 00:00:00
LA,Beauregard Parish SO,MRAP,1,2016-01-06 00:00:00
LA,Catahoula Parish Sheriff Office,MRAP,1,2017-03-21 00:00:00
MD,Berwyn Heights PD,UAH,1,2017-06-15 00:00:00
MD,Bowie PD,UAH,1,2017-06-15 00:00:00
MD,Prince George's County PD,MRAP,1,2016-02-11 00:00:00
MD,Wicomico CSO,Riot Batons,200,2015-10-15 00:00:00
MD,Wicomico CSO,Riot Helmets,200,2015-10-15 00:00:00
MD,Wicomico CSO,Riot Shields,40,2015-10-15 00:00:00
ME,Cumberland CSO,Riot Shields,18,2017-04-10 00:00:00
MI,Albion Dept Public Safety,HMMWV,1,2017-06-20 00:00:00
MI,Eastern Wayne County Reg Resp Team,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","13
13
13
13",2015-11-10 00:00:00
MI,Flint PD,HMMWV,2,2016-03-16 00:00:00
MI,Flint PD,Peacekeeper,1,2016-03-16 00:00:00
MI,Flint PD,MRAP,1,2016-03-16 00:00:00
MI,Grosse Point Dept of Public Safety,"Breaching Apparatus
Riot Batons
Riot Helmets
Riot Shields","35
35
35
35",2015-11-10 00:00:00
MI,Mt. Morris Twp PD,MRAP,1,2015-12-15 00:00:00
MI,South Haven PD,Breaching Apparatus,10,2017-02-03 00:00:00
MI,South Haven PD,Riot Batons,29,2017-02-03 00:00:00
MI,South Haven PD,Riot Helmets,29,2017-02-03 00:00:00
MI,South Haven PD,Riot Shields,29,2017-02-03 00:00:00
MI,South Haven PD,HMMWV,1,2017-02-03 00:00:00
MI,South Haven PD,MRAP,1,2017-02-03 00:00:00
MI,Woodhaven PD,UAH,1,2017-03-03 00:00:00
MN,Hubbard County SO,Batons,20,2017-03-28 00:00:00
MN,Hubbard County SO,Helmets,20,2017-03-28 00:00:00
MN,Hubbard County SO,MRAP,1,2016-01-06 00:00:00
MN,Hubbard County SO,Shields,20,2017-03-28 00:00:00
MN,Hubbard County SO,UAH,1,2017-03-28 00:00:00
MN,Mille Lacs CSO,UAH,1,2017-04-13 00:00:00
MN,Polk CSO,UAH,1,2017-04-13 00:00:00
MN,Ramsey County SO,MRAP,1,2016-01-06 00:00:00
MO,Benton CSO,HMMWV,1,2017-05-10 00:00:00
MO,Miller CSO,UAH,1,2017-06-15 00:00:00
MO,Miller CSO,UAH,1,2017-06-15 00:00:00
MO,Newton CSO,HMMWV,1,2016-12-19 00:00:00
MO,Shannon CSO,UAH,1,2017-06-30 00:00:00
MO,Sullivan PD,HMMWV,1,2016-12-19 00:00:00
MS,Brookhaven PD,HMMWV,1,2017-05-12 00:00:00
MS,Brookhaven PD,MRAP,1,2017-05-12 00:00:00
MS,Brookhaven PD,UAH,1,2017-05-12 00:00:00
MS,Lincoln CSO,MRAP,1,2017-06-30 00:00:00
MS,Lincoln CSO,HMMWV,1,2017-06-30 00:00:00
