State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
OR,BAKER CTY SHERIFF DEPT,8465-01-396-9919,HYDRATION SYSTEM,1,Each,75.91,A,1,2017-04-04 00:00:00
OR,BAKER CTY SHERIFF DEPT,8465-01-580-2774,MEDIC SET          ,1,Each,152.19,A,1,2017-04-10 00:00:00
OR,BAKER CTY SHERIFF DEPT,6530-01-260-1222,"RESCUE AND TRANSPORT SYSTEM,PATIENT",15,Each,707.06,A,1,2017-06-12 00:00:00
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,6,Each,278.05,D,1,2013-12-17 00:00:00
OR,BAKER CTY SHERIFF DEPT,2510-01-555-4876,"WINDOW,VEHICULAR",1,Each,3938.18,D,1,2013-11-26 00:00:00
OR,BAKER CTY SHERIFF DEPT,2340-DS-SNO-WMOB,SNOWMOBILE,4,Each,10000,A,,2017-02-14 00:00:00
OR,BAKER CTY SHERIFF DEPT,8415-01-585-4690,"SUIT,CHEMICAL PROTECTIVE",12,Each,314.7,Q,3,2014-10-28 00:00:00
OR,BAKER CTY SHERIFF DEPT,2320-01-354-3384,"TRUCK,VAN",1,Each,124607,A,1,2017-08-18 00:00:00
OR,BAKER CTY SHERIFF DEPT,6530-01-260-1222,"RESCUE AND TRANSPORT SYSTEM,PATIENT",4,Each,707.06,A,1,2017-04-04 00:00:00
OR,BAKER CTY SHERIFF DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,658000,C,1,2013-09-10 00:00:00
OR,BAKER CTY SHERIFF DEPT,8465-01-513-4083,"PACK,ASSAULT,MOLLE ",2,Each,75.1,A,1,2017-04-04 00:00:00
OR,BAKER CTY SHERIFF DEPT,2320-01-009-6194,"TRUCK,CARGO",1,Each,6337,A,1,2017-05-05 00:00:00
OR,BAKER CTY SHERIFF DEPT,7210-00-935-6665,"BLANKET,SURVIVAL",12,Each,9.28,A,1,2017-02-14 00:00:00
OR,BAKER CTY SHERIFF DEPT,8465-01-524-5250,ASSAULT PACK       ,1,Each,77.34,A,1,2017-04-04 00:00:00
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,4,Each,278.05,D,1,2013-12-17 00:00:00
OR,BAKER CTY SHERIFF DEPT,3930-01-158-0849,"TRUCK,LIFT,FORK",1,Each,72370,A,1,2017-04-03 00:00:00
OR,BAKER CTY SHERIFF DEPT,8340-01-537-8710,TENT,1,Each,228998.16,A,1,2017-09-29 00:00:00
OR,BAKER CTY SHERIFF DEPT,6130-DS-CHA-RGE1,BATTERY CHARGER,2,Each,100,A,,2017-06-12 00:00:00
OR,BAKER CTY SHERIFF DEPT,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",1,Each,12000,A,,2017-03-03 00:00:00
OR,BAKER CTY SHERIFF DEPT,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,250,A,,2017-02-14 00:00:00
OR,BAKER CTY SHERIFF DEPT,8465-01-583-6329,TACTICAL ASSAULT PANEL,1,Each,35.88,A,1,2017-04-04 00:00:00
OR,BAKER CTY SHERIFF DEPT,7025-DS-PRI-NT05,PRINTER,2,Each,299.78,A,,2017-06-12 00:00:00
OR,BAKER CTY SHERIFF DEPT,6230-01-439-3732,"FLOODLIGHT SET,ELECTRIC",2,Each,12000,A,1,2017-05-05 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1997-10-08 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-23 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1999-12-28 00:00:00
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-06-03 00:00:00
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1997-10-08 00:00:00
OR,BENTON COUNTY SHERIFF OFFICE,2320-01-074-7642,"TRUCK,ARMORED",1,Each,65070,C,1,2010-10-04 00:00:00
OR,BOARDMAN POLICE DEPT,1240-01-540-3690,"SIGHT,REFLEX",30,Each,365,D,1,2013-07-31 00:00:00
OR,BOARDMAN POLICE DEPT,1005-01-484-8000,"SIGHT,REAR",20,Each,58.97,D,1,2013-07-31 00:00:00
