State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
SD,ABERDEEN POLICE DEPT,2355-01-602-3357,MINE RESISTANT VEHICLE,1,Each,865000,C,1,2016-12-01 00:00:00
SD,ALCESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-02-23 00:00:00
SD,ALCESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-02-23 00:00:00
SD,AVON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-28 00:00:00
SD,AVON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2010-03-04 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-15 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-15 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2010-02-04 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2010-08-11 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-15 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-15 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-15 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2010-02-04 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2010-02-04 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-15 00:00:00
SD,BEADLE COUNTY SHERIFFS DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2010-02-04 00:00:00
SD,BENNETT COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1996-12-03 00:00:00
SD,BENNETT COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-08-08 00:00:00
SD,BENNETT COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-08-08 00:00:00
SD,BENNETT COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1996-12-03 00:00:00
SD,BENNETT COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1996-12-03 00:00:00
SD,BERESFORD POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1993-11-03 00:00:00
SD,BERESFORD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-03 00:00:00
SD,BERESFORD POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1993-11-03 00:00:00
SD,BERESFORD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-03-26 00:00:00
SD,BERESFORD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-03-26 00:00:00
SD,BERESFORD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-03 00:00:00
SD,BROOKINGS COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1995-12-19 00:00:00
SD,BROOKINGS COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1995-12-19 00:00:00
