State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NJ,ABERDEEN TOWNSHIP POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2014-01-27 00:00:00
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ABERDEEN TOWNSHIP POLICE DEPT,6760-01-491-2760,"CASE,PHOTOGRAPHIC EQUIPMENT",6,Each,143.19,A,1,2017-11-01 00:00:00
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ABSECON CITY POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2016-11-15 00:00:00
NJ,ABSECON CITY POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2016-11-15 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2004-03-23 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ALLENHURST POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,47023,Q,6,2014-07-22 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-13 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",50,Each,12.3,D,1,2015-01-27 00:00:00
NJ,ALLENHURST POLICE DEPT,2320-01-371-9584,"TRUCK,UTILITY",1,Each,62627,C,1,2015-06-04 00:00:00
NJ,ALLENHURST POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2004-03-23 00:00:00
NJ,ALLENHURST POLICE DEPT,8140-00-960-1699,"CHEST,AMMUNITION",30,Each,11.1,A,1,2016-09-29 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-646-4191,"PAD,ELECTRODE,DEFIBRILLATOR",5,Pair,62.78,A,1,2017-11-02 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-530-8133,DEFIBRILLATOR AND CARDIOSCOPE,1,Unknown,0,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-530-8133,DEFIBRILLATOR AND CARDIOSCOPE,1,Unknown,0,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-446-1818,"AIRWAY,NASOPHARYNGEAL",7,Box,45.9,A,,2017-11-02 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,8105-00-142-9345,"BAG,SAND",3,Hundred,49.61,A,1,2017-05-05 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-530-8133,DEFIBRILLATOR AND CARDIOSCOPE,1,Unknown,0,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,7010-DS-WOR-KST0,COMPUTER WORKSTATION,6,Each,1200,A,,2017-06-01 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-371-9584,"TRUCK,UTILITY",1,Each,62627,C,1,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,315,D,1,2017-09-14 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-05-23 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2017-06-01 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,7010-DS-WOR-KST0,COMPUTER WORKSTATION,8,Each,1200,A,,2017-06-01 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,6515-01-463-0909,"DEFIBRILLATOR,EXTER",1,Each,3018.46,A,1,2017-08-15 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,7025-DS-HAR-DDR1,"HARD DRIVE, INTERNAL",26,Each,307,A,,2017-05-05 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,7025-DS-HAR-DDR1,"HARD DRIVE, INTERNAL",41,Each,307,A,,2017-05-25 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-24 00:00:00
NJ,ATLANTIC CITY POLICE DEPT,2320-01-230-0304,"TRUCK,WRECKER",1,Each,168960,Q,6,2017-12-12 00:00:00
