State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1998-05-27 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,65070,C,1,1995-07-25 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1996-05-30 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1998-03-26 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,4933-01-564-8971,"SHOP EQUIPMENT,SMALL ARMS",1,Set,18475,B,3,2014-10-20 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-01-559-7993,"SIGHT,HOLOGRAPHIC",10,Each,485.43,D,1,2014-11-04 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",5,Each,315,D,1,2015-04-15 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-518-6492,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",6,Each,298,D,1,2015-03-26 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,5860-01-491-9639,INTEGRATED LASER LIGHT MODULE,10,Each,1652.86,D,1,2016-04-28 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-01-587-1122,"STOCK,GUN,SHOULDER",4,Each,695,D,1,2016-04-11 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,6720-01-568-1287,"CAMERA SYSTEM,RECONNAISSANCE",1,Kit,5147.45,C,1,2016-06-27 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,5855-01-464-3152,"SIGHT,THERMAL",10,Each,17591,D,7,2016-06-27 00:00:00
PA,ABINGTON TOWNSHIP POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",6,Each,315,D,1,2016-03-09 00:00:00
