State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1240-01-411-6350,"TELESCOPE,STRAIGHT",2,Each,794,F,7,2011-05-18 00:00:00
RI,BARRINGTON POLICE DEPT,2815-00-531-5921,"FILTER, AIR HM-1",3,Each,64.08,B,3,2011-12-03 00:00:00
RI,BARRINGTON POLICE DEPT,2510-01-491-6919,"KIT,BRUSHGUARD     ",2,Each,200,B,0,2011-11-17 00:00:00
RI,BARRINGTON POLICE DEPT,1240-01-568-8373,"MOUNT,SIGHT",5,Each,1124.93,B,3,2011-06-07 00:00:00
RI,BARRINGTON POLICE DEPT,1240-01-207-5787,BINOCULAR,4,Each,435,F,1,2011-04-21 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,49897,C,1,2011-04-22 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-03-14 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-08-16 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1994-02-02 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-08-16 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1994-02-02 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1994-02-02 00:00:00
RI,BURRILLVILLE POLICE DEPT,5855-01-471-1145,"VIEWER,NIGHT VISION",1,Each,75000,D,1,2008-12-13 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1994-01-11 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1994-01-11 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-11-18 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1994-01-11 00:00:00
RI,CHARLESTOWN POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,47023,Q,6,2012-02-24 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-11-18 00:00:00
RI,CHARLESTOWN POLICE DEPT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,41447,C,1,2011-07-13 00:00:00
RI,CHARLESTOWN POLICE DEPT,2320-01-456-1282,"TRUCK,UTILITY",1,Each,46983,C,1,2012-04-30 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-444-3916,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,1650,F,1,2006-10-06 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-444-3916,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,1650,F,1,2006-10-06 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-444-3916,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,1650,F,1,2006-10-06 00:00:00
RI,COVENTRY POLICE DEPT,2510-01-530-5723,"PANEL,BODY,VEHICULAR",1,Each,2404.69,D,1,2012-12-20 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-02-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-03-06 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-03-06 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2170,F,1,2007-03-06 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-1497,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,2139,F,1,2006-08-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-504-4590,"IMAGE INTENSIFIER,NIGHT VISION",2,Each,1426,F,1,2007-02-24 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-458-1548,"SIGHT,THERMAL",1,Each,11000,D,1,2007-09-26 00:00:00
RI,COVENTRY POLICE DEPT,1005-01-537-0026,M84 CHARGING HANDLE,20,Each,112.36,D,1,2013-11-26 00:00:00
RI,COVENTRY POLICE DEPT,1005-01-512-2731,BOLT ASSEMBLY      ,4,Each,61.7,D,1,2011-05-07 00:00:00
RI,COVENTRY POLICE DEPT,1005-01-267-2093,"SUPPRESSOR,FLASH",4,Each,2002.8,D,1,2013-07-11 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-423-0817,MAGNIFIER LENS ASSE,6,Each,230.01,D,1,2010-09-21 00:00:00
RI,COVENTRY POLICE DEPT,1005-01-569-8193,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,89,D,1,2009-11-13 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-448-5464,"ILLUMINATOR,INFRARED",3,Each,359,C,1,2007-09-21 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-485-4098,"GRIP,PISTOL,LASER  ",8,Each,288.64,D,1,2013-03-04 00:00:00
RI,COVENTRY POLICE DEPT,5855-01-464-3152,"SIGHT,THERMAL",1,Each,17591,D,7,2006-08-16 00:00:00
