State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
VI,VIRGIN ISLANDS POLICE DEPT,4020-00-689-5684,"ROPE,FIBROUS",4,Coil,118.64,A,1,2017-04-12 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,7690-00-717-6320,"MARKER,IDENTIFICATION",4,Roll,30.71,A,1,2017-03-16 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,5440-DS-LAD-DER2,"LADDER, SCAFFOLDING",2,Each,200,A,,2017-04-12 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,8440-00-543-7778,SOCKS,72,Pair,1.58,A,1,2017-03-16 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1996-08-20 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-06-05 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1996-08-20 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-06-12 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1996-08-20 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1996-08-20 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-06-05 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-06-05 00:00:00
VI,VIRGIN ISLANDS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,3500,D,1,1996-08-20 00:00:00
