State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
WA,ABERDEEN POLICE DEPT,1240-01-490-7308,"SIGHT,REFLEX",15,Each,1170.55,D,1,2013-04-30 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",12,Each,1059,D,1,2018-03-29 00:00:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,11300,D,1,2017-11-03 00:00:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,11300,D,1,2017-11-03 00:00:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,11300,D,1,2017-11-03 00:00:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,11300,D,1,2017-11-03 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-08-22 00:00:00
WA,ABERDEEN POLICE DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,1090,D,1,2015-03-25 00:00:00
WA,ABERDEEN POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,733000,C,1,2014-05-13 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-08-22 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-08-22 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-08-22 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-02-09 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-12-04 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-02-09 00:00:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-02-09 00:00:00
