Cancelled By,State,Station Name (LEA),Item Name,UI,Quantity,Acquisition Value,Date Requested,Reason Cancelled
LESOHQ,AK,ANCHORAGE POLICE DEPARTMENT,SNOW BLOWER,EA,2,325,2018-06-18 20:28:01.999998,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,AK,ANCHORAGE POLICE DEPARTMENT,HAND CART,EA,2,75,2018-06-18 20:28:01.999998,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,AL,ABBEVILLE POLICE DEPT,BINOCULAR,EA,10,435,2018-09-08 13:59:20.999996,PROHIBITED--the DEMIL F instructions prohibit this item from reutilization for LESO customers.
LESOHQ,AL,ALABAMA  LAW ENFORCEMENT AGENCY LEA,"PUMP,ROTARY",EA,3,4531,2018-07-17 15:02:46,QTY no longer available. -DSMITH
LESOHQ,AL,ALABASTER POLICE DEPT,"TRUCK,CARRYALL",EA,1,30004,2018-08-17 11:31:25.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,BLOUNT COUNTY SHERIFF OFFICE,"AUTOMOBILE,SEDAN",EA,1,16400,2018-07-03 13:51:37.999996,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,BLOUNTSVILLE POLICE DEPT,"AUTOMOBILE,SEDAN",EA,1,16400,2018-07-03 13:31:15.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,BLOUNTSVILLE POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-23 09:53:11.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,BLOUNTSVILLE POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-23 09:53:11.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,BLOUNTSVILLE POLICE DEPT,"FIRING DEVICE,NON-LETHAL",EA,6,959,2018-07-10 11:26:50.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,BLOUNTSVILLE POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-23 09:53:11.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,TRAILER,EA,1,8000,2018-09-04 19:58:27.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,HANDHELD DEVICE,EA,20,603.77,2018-08-21 15:51:50.999996,CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,AL,CALERA POLICE DEPT,"TOURNIQUET,NONPNEUM",EA,40,37.79,2018-08-20 11:23:53.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"TRUCK,CARGO",EA,1,27290,2018-07-17 21:27:52.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 00:44:53.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 00:44:53.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 00:44:53.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,MOTOR VEH/TRLR/CYCL,EA,1,7800,2018-07-25 10:13:14.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2018-07-19 22:02:30.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 00:44:53.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,TRAILER,EA,1,2000,2018-09-07 00:56:17.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CALERA POLICE DEPT,"FIRST AID KIT,UNIVE",KT,4,96.16,2018-07-20 19:38:02,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,AL,CHEROKEE COUNTY SHERIFF DEPT,"AUTOMOBILE,SEDAN",EA,1,16400,2018-07-03 09:34:52.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,COLLINSVILLE POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2018-09-06 14:25:22.999996,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,CULLMAN POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,2,32000,2018-09-06 10:50:20.999996,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"FIRING DEVICE,NON-LETHAL",EA,10,959,2018-07-30 16:27:04.999997,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"IMAGE INTENSIFIER,NIGHT VISION",EA,4,5855,2018-07-25 10:16:07,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
