State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,Ship Date
AL,DOJ/FBI HAZ DEVICES SCHOOL,8465-01-532-7233,"PACK,ASSAULT       ",72,Each,262.46,2018-09-07 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,8465-01-532-7233,"PACK,ASSAULT       ",72,Each,262.46,2018-09-07 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,8465-01-532-7233,"PACK,ASSAULT       ",48,Each,262.46,2018-09-07 00:00:00
AZ,USDVA/LE PHOENIX,8415-01-461-8356,"SHIRT,COLD WEATHER",10,Each,60.14,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,8465-01-524-5250,ASSAULT PACK       ,10,Each,77.21,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,8415-01-461-8336,"SHIRT,COLD WEATHER",10,Each,60.14,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,8415-01-461-8341,"SHIRT,COLD WEATHER",20,Each,60.14,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,8415-01-461-8341,"SHIRT,COLD WEATHER",13,Each,60.14,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,8415-01-541-8093,"SHIRT,COLD WEATHER",2,Each,60.14,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,8465-01-515-7594,"PACK,ASSAULT,MOLLE ",6,Each,59.95,2018-09-20 00:00:00
AZ,USDVA/LE PHOENIX,6665-01-512-7300,"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",1,Each,75313,2018-09-20 00:00:00
CA,DHS/CBP PATROL CHULA VISTA,7310-01-381-2590,"DISPENSER,LIQUID,INSULATED",3,Each,100.02,2018-07-03 00:00:00
CA,DHS/CBP PATROL CHULA VISTA,5350-01-575-2430,"CLOTH,ABRASIVE",10,Each,39.65,2018-07-03 00:00:00
CA,DHS/CBP PATROL CHULA VISTA,7360-01-419-8500,"FOOD TRANSPORTER,INSULATED",3,Each,268.17,2018-07-03 00:00:00
CA,DHS/CBP PATROL CHULA VISTA,7920-01-565-4596,"MOPHEAD,WET",5,Box,99.02,2018-07-03 00:00:00
CA,DHS/ICE ERO SAN FRANCISCO,8415-01-530-2351,"PAD,KNEE           ",5,Pair,17.9,2018-08-15 00:00:00
CA,DHS/ICE ERO SAN FRANCISCO,8465-01-580-1312,BANDOLEER AMMUNITION POUCHES,13,Each,12.3,2018-08-15 00:00:00
