State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
FL,ALACHUA COUNTY SHERIFF OFFICE,3040-00-127-3093,BELL CRANK,2,Each,1056.69,B,3,2010-04-22 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1615-01-086-0153,"TRUNNION,MAIN ROTOR",1,Each,1084.77,B,3,2014-02-07 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,2330-01-560-6538,"TRAILER,RECOVERY",1,Each,93542,B,3,2016-06-10 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1615-01-086-0153,"TRUNNION,MAIN ROTOR",1,Each,1084.77,B,3,2014-02-07 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,3130-01-133-2727,"HOUSING,BEARING UNIT",7,Each,902.11,B,3,2015-12-14 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,92290,C,1,2016-09-14 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-26 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2007-11-23 00:00:00
