State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,2355-DS-COM-BTV2,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,1,Each,195650,D,,2011-02-28 00:00:00
ID,ADA COUNTY SHERIFF DEPT,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,412000,C,1,2013-09-13 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-08-14 00:00:00
ID,ASHTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2011-09-27 00:00:00
ID,ASHTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2011-09-27 00:00:00
ID,ASHTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2011-09-27 00:00:00
ID,ASHTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2011-09-27 00:00:00
ID,ASHTON POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-02-20 00:00:00
ID,ASHTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,49897,C,1,2015-04-02 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1240-01-540-3690,"SIGHT,REFLEX",12,Each,332,D,1,2018-04-26 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1095-01-197-7902,"RACK,STORAGE,SMALL ARMS",1,Each,399.14,A,1,2018-04-26 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-280-1841,"RESUSCITATOR,MOUTH TO MASK",15,Package,100.62,A,1,2018-09-13 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,2340-DS-CAR-T000,"CART, MOTORIZED",1,Each,13344,A,,2018-08-17 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,3950-DS-HOI-ST00,"WINCHES, HOISTS, CRANES, AND DERRICKS",1,Each,22900,A,,2018-09-13 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,2320-01-173-6113,"TRUCK,CARRYALL",1,Each,25718,A,1,2018-09-13 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7830-DS-BIC-YCL1,BICYCLE,2,Each,2594,A,,2018-10-18 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5640-00-103-2254,"TAPE,DUCT",5,Roll,7.34,A,1,2018-10-18 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-11 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-11 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-11 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-11 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8465-01-525-0606,"POUCH,M4 TWO MAG   ",8,Each,4.76,A,1,2018-04-26 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5120-DS-TOR-QUEW,TORQUEWRENCH,1,Each,200,A,,2018-05-09 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,2010-DS-OUT-MOTO,OUTBOARD MOTOR,3,Each,13000,A,,2018-05-04 00:00:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5180-01-447-2200,"TOOL KIT,CARPENTERS",1,Kit,3025.68,A,1,2018-04-26 00:00:00
