State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MN,ADAMS POLICE DEPARTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2012-01-09 00:00:00
MN,ADAMS POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-09 00:00:00
MN,AKELEY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2005-12-27 00:00:00
MN,AKELEY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2005-12-28 00:00:00
MN,ANNANDALE POLICE DEPT,5855-01-504-4590,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,2550,F,1,2013-10-04 00:00:00
MN,ANNANDALE POLICE DEPT,5855-01-531-7036,"FILTER,INFRARED LIGHT",3,Each,84.16,D,1,2014-01-27 00:00:00
MN,ANNANDALE POLICE DEPT,5855-01-591-0050,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",1,Each,4451,D,1,2013-11-22 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,332,D,1,2018-10-10 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,5860-01-544-7175,"LASER,DIRECTIONAL ASSEMBLY",4,Each,13084.54,D,1,2018-04-20 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,5855-01-582-1584,"ILLUMINATOR,INFRARED",1,Each,1362,D,1,2018-07-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,5855-01-582-1584,"ILLUMINATOR,INFRARED",1,Each,1362,D,1,2018-07-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-99-132-2616,"KIT,CONVERSION,M16-",20,Each,397,D,7,2018-10-09 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,5855-01-582-1584,"ILLUMINATOR,INFRARED",1,Each,1362,D,1,2018-07-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,5855-01-582-1584,"ILLUMINATOR,INFRARED",1,Each,1362,D,1,2018-07-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1240-01-568-8373,"MOUNT,SIGHT",2,Each,1101.46,B,3,2018-02-06 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,5855-01-582-1584,"ILLUMINATOR,INFRARED",1,Each,1362,D,1,2018-07-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,6510-01-460-0849,"BANDAGE KIT,ELASTIC",155,Each,7.32,A,1,2017-10-12 00:00:00
