State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7530-01-483-8888,"ENVELOPE,WALLET",18,Package,24.89,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7530-01-483-8889,"ENVELOPE,WALLET",5,Package,26.17,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,3439-00-262-2743,"ELECTRODE,WELDING",1,Can,259.91,B,3,2013-01-02 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,4300,F,1,2011-12-15 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2540-01-479-2020,"CUSHION,SEAT,VEHICULAR",3,Each,114,A,1,2018-10-15 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,10903,A,,2018-06-29 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,5530-00-128-5003,"PLYWOOD,CONSTRUCTION",150,Sheet,47.78,A,1,2018-09-27 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2590-01-484-0440,"SUPPORT,RETRACTABLE,TRAILER",10,Each,241.59,A,1,2018-05-01 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,8415-DS-GLO-VESS,"GLOVES, SAFETY",7,Each,26.98,A,,2018-04-10 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,4910-01-353-9944,"WASHER,PRESSURE,PORTABLE",1,Each,563.2,A,1,2018-04-10 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-278-4130,"BINDER,LOOSE-LEAF",13,Each,4.84,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-00-266-6707,"TAPE,PRESSURE SENSITIVE ADHESIVE",10,Roll,8.01,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-278-4129,"BINDER,LOOSE-LEAF",22,Each,4.72,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-417-1882,"BINDER,LOOSE-LEAF",14,Each,5.99,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-417-1884,"BINDER,LOOSE-LEAF",18,Each,5.59,A,1,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,4110-DS-REF-RIG0,REFRIGERATOR,2,Each,400,A,,2019-02-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,8010-01-344-5085,ENAMEL,22,Gallon,56.59,A,1,2018-09-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,8010-01-344-5322,ENAMEL,14,Can,153.04,A,1,2018-09-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7930-01-494-2986,"DETERGENT,LAUNDRY",36,Box,138.24,A,1,2018-09-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2310-DS-VAN-0000,VAN,1,Each,10900,A,,2018-06-29 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,6515-01-461-8950,"GLOVE,PATIENT EXAMINING",56,Package,16.54,A,1,2018-05-01 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,9150-01-552-9282,"LUBRICATING OIL,ENGINE",2,Drum,916.34,A,1,2018-04-03 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,8030-01-414-8947,CORROSION PREVENTIVE COMPOUND,10,Can,249.62,A,1,2018-09-19 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,10903,A,,2018-06-29 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-01-123-2671,"TRUCK,CARGO",1,Each,31249,A,1,2018-05-17 00:00:00
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,6850-01-464-9125,ANTIFREEZE,22,Gallon,12.48,A,1,2018-09-19 00:00:00
GU,GUAM DEPT OF AG LAW ENF DIV (LEA),2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,10900,A,,2018-07-12 00:00:00
GU,GUAM DEPT OF AG LAW ENF DIV (LEA),2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,10900,A,,2018-07-12 00:00:00
GU,GUAM DEPT OF YOUTH AFFAIRS (LEA),3510-DS-WAS-HER6,CLOTHES WASHER,2,Each,500,A,,2018-07-03 00:00:00
GU,GUAM DEPT OF YOUTH AFFAIRS (LEA),2320-01-380-8604,"TRUCK,UTILITY",1,Each,89900,C,1,2012-05-30 00:00:00
GU,GUAM DEPT OF YOUTH AFFAIRS (LEA),2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,23300,A,,2018-07-03 00:00:00
GU,GUAM DEPT OF YOUTH AFFAIRS (LEA),2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,10900,A,,2018-07-12 00:00:00
GU,GUAM FIRE DEPT,8140-01-077-7337,"SHIPPING AND STORAGE CONTAINER,BOMB DISPENSER",10,Each,230,D,1,2012-03-20 00:00:00
GU,GUAM FIRE DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,89900,C,1,2011-12-20 00:00:00
GU,GUAM FIRE DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,89900,C,1,2011-12-20 00:00:00
GU,GUAM POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-07-08 00:00:00
GU,GUAM POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-07-08 00:00:00
GU,GUAM POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-07-08 00:00:00
GU,GUAM POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-07-08 00:00:00
GU,GUAM POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-07-08 00:00:00
GU,GUAM POLICE DEPT,4910-DS-PRE-SSUR,PRESSURE WASHER,2,Each,400,A,,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,3750-DS-BLO-WER0,"BLOWER, LANDSCAPE",1,Each,125,A,,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,3750-DS-LAN-DSCP,GARDENING IMPLEMENTS AND TOOLS,3,Each,400,A,,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,7530-01-483-8889,"ENVELOPE,WALLET",5,Package,26.17,A,1,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,7110-DS-CHA-IR02,"CHAIR, OFFICE",4,Each,125,A,,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,8430-01-516-1682,"BOOTS,COMBAT",12,Pair,101.61,A,1,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,8430-01-516-1693,"BOOTS,COMBAT",11,Pair,101.61,A,1,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,4010-00-777-7804,"WIRE ROPE ASSEMBLY,SINGLE LEG",1,Each,146.98,A,1,2018-12-27 00:00:00
GU,GUAM POLICE DEPT,7125-DS-CAB-INSH,"CABINETS, LOCKERS, BINS, AND SHELVING",12,Each,1000,A,,2018-12-07 00:00:00
GU,GUAM POLICE DEPT,8430-01-516-1708,"BOOTS,COMBAT",10,Pair,101.61,A,1,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,8430-01-514-5084,"BOOTS,COMBAT",8,Pair,69.22,A,1,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,7230-00-247-1280,"CURTAIN,SHOWER",10,Each,10.68,A,1,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,7110-DS-SHE-LF00,"SHELF, OFFICE",1,Each,200,A,,2018-12-27 00:00:00
GU,GUAM POLICE DEPT,8430-01-516-1659,"BOOTS,COMBAT",9,Pair,101.61,A,1,2019-03-06 00:00:00
GU,GUAM POLICE DEPT,3930-00-181-3113,"TRUCK,LIFT,FORK",1,Each,25597,A,1,2018-11-20 00:00:00
GU,GUAM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-09-03 00:00:00
GU,GUAM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-09-03 00:00:00
GU,GUAM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-09-03 00:00:00
GU,GUAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-02-11 00:00:00
GU,GUAM POLICE DEPT,1005-01-010-1561,"CONVERSION KIT,RIFLE",10,Each,60,D,1,2012-03-03 00:00:00
GU,GUAM POLICE DEPT,5210-00-234-5224,"RULE,MACHINISTS",30,Each,20.36,A,1,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,7110-DS-FIL-ECA0,FILE CABINET,4,Each,300,A,,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,4250-01-411-6604,"CRUSHER,CAN",1,Each,47.03,A,,2018-12-07 00:00:00
GU,GUAM POLICE DEPT,7105-DS-CAB-INE4,"CABINET, HOUSEHOLD",2,Each,300,A,,2018-12-10 00:00:00
GU,GUAM POLICE DEPT,7125-DS-CAB-INSH,"CABINETS, LOCKERS, BINS, AND SHELVING",1,Each,350,A,,2018-12-27 00:00:00
GU,GUAM POLICE DEPT,7105-DS-REC-LINE,RECLINER,15,Each,210,A,,2018-12-07 00:00:00
GU,GUAM POLICE DEPT,7110-DS-DES-K001,DESK,15,Each,140,A,,2018-12-10 00:00:00
GU,GUAM POLICE DEPT,9390-01-462-6832,"TAPE,LUMINOUS",10,Roll,174.49,A,1,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,8105-00-837-7753,"BAG,PLASTIC",4,Thousand,27.09,A,1,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,7920-01-444-3650,SPONGE,40,Package,1.97,A,1,2019-02-20 00:00:00
GU,GUAM POLICE DEPT,4310-DS-COM-PRE1,"COMPRESSOR, AIR",1,Each,379,A,,2018-12-07 00:00:00
GU,GUAM POLICE DEPT,3920-DS-DOL-LY00,HAND DOLLY,3,Each,50,A,,2018-11-20 00:00:00
GU,GUAM POLICE DEPT,3940-01-600-1308,"SLING,CARGO,NET",1,Each,865.71,A,1,2018-12-27 00:00:00
GU,GUAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2000-02-11 00:00:00
GU,GUAM POLICE DEPT,8415-01-352-6554,"GLOVES,DISPOSABLE",76,Package,12.96,A,1,2018-09-21 00:00:00
GU,GUAM POLICE DEPT,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,10900,A,,2018-07-12 00:00:00
GU,GUAM POLICE DEPT,6850-01-464-9137,ANTIFREEZE,13,Container,62.85,A,1,2018-09-28 00:00:00
GU,GUAM POLICE DEPT,8415-01-530-0021,"TRUNKS,UTILITY",144,Pair,11.07,A,1,2018-08-16 00:00:00
