State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MN,ADAMS POLICE DEPARTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,D,1,2012-01-09 00:00:00
MN,ADAMS POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-09 00:00:00
MN,AKELEY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2005-12-27 00:00:00
MN,AKELEY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2005-12-28 00:00:00
MN,ANNANDALE POLICE DEPT,5855-01-531-7036,"FILTER,INFRARED LIGHT",3,Each,84.16,D,1,2014-01-27 00:00:00
MN,ANNANDALE POLICE DEPT,5855-01-504-4590,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,2550,F,1,2013-10-04 00:00:00
MN,ANNANDALE POLICE DEPT,5855-01-591-0050,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",1,Each,4451,D,1,2013-11-22 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
MN,ANOKA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-01-19 00:00:00
