State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Shipped,Justification
SC,NORTH CHARLESTON POLICE DEPT,2YT10A91702834,2355,016230967,MINE RESISTANT VEHICLE,EA,1,767360,2019-07-01 00:00:00,VEHICLE REQUESTED BY THE NORTH CHARLESTON POLICE DEPARTMENT FOR USE IN SWAT OPERATIONS AND SEARCH AND RESCUE MISSIONS.
PA,NEW CASTLE POLICE DEPT,2YT1F691611047,8465,016593179,FIELD PACK,EA,1,550,2019-07-01 00:00:00,"THE NEW CASTLE POLICE DEPARTMENT WOULD ISSUE THIS FIELD PACK TO ONE SWAT SNIPER TO CARRY THEIR WEAPON, SCOPES AND OTHER EQUIPMENT FOR USE DURING SWAT OPERATIONS."
PA,NEW CASTLE POLICE DEPT,2YT1F691611051,8470,015367220,"COVER,VEST,SMALL ARMS PROTECTIVE BODY AR",PR,1,30.18,2019-07-01 00:00:00,THE NEW CASTLE POLICE DEPARTMENT WOULD USE THIS GREEN VEST COVER TO ISSUE TO A SWAT TEAM NEGOTIATOR SO THAT THEY CAN PUT THEIR ISSUE VEST PANELS IN A COVER APPROPRIATE FOR TACTICAL OPERATIONS.
PA,NEW CASTLE POLICE DEPT,2YT1F691611058,8465,015866103,INDIVIDUAL EQUIPMENT KIT,KT,4,2462.26,2019-07-01 00:00:00,THE NEW CASTLE POLICE DEPARTMENT WOULD USE THE POUCHES IN THIS KIT TO EQUIP SWAT SNIPERS WITH POUCHES TO HOLD AMMUNITION AND OTHER EQUIPMENT FOR USE DURING SWAT OPERATIONS.
PA,NEW CASTLE POLICE DEPT,2YT1F691631597,8415,015929034,"GLOVE SHELLS,COLD WEATHER",PR,4,143,2019-07-01 00:00:00,THE NEW CASTLE POLICE DEPARTMENT WOULD ISSUE THESE COLD WEATHER GLOVES TO MEMBERS OF THE SWAT TEAM FOR USE DURING COLD WEATHER SWAT OPERATIONS.
PA,NEW CASTLE POLICE DEPT,2YT1F691631626,8415,015926681,"GLOVE INSERTS,COLD WEATHER",PR,1,92,2019-07-01 00:00:00,THE NEW CASTLE POLICE DEPARTMENT WOULD ISSUE THESE COLD WEATHER GLOVES TO MEMBERS OF THE SWAT TEAM FOR USE DURING COLD WEATHER SWAT OPERATIONS.
PA,NEW CASTLE POLICE DEPT,2YT1F691631628,8415,015985556,"GLOVES,COLD WEATHER",PR,5,109.5,2019-07-01 00:00:00,THE NEW CASTLE POLICE DEPARTMENT WOULD ISSUE THESE COLD WEATHER GLOVES TO MEMBERS OF THE SWAT TEAM FOR USE DURING COLD WEATHER SWAT OPERATIONS.
PA,NEW CASTLE POLICE DEPT,2YT1F691631635,8415,015929037,"GLOVE SHELLS,COLD WEATHER",PR,1,143,2019-07-01 00:00:00,THE NEW CASTLE POLICE DEPARTMENT WOULD ISSUE THESE COLD WEATHER GLOVES TO MEMBERS OF THE SWAT TEAM FOR USE DURING COLD WEATHER SWAT OPERATIONS.
FL,CITRUS COUNTY SHERIFF'S OFFICE,2YTCEP91763585,2530,015765896,"WHEEL,PNEUMATIC TIRE",EA,4,3336,2019-07-01 00:00:00,TIRES WILL BE USED TO SUPPORT THE MRAP VEHICLE THAT WE ARE REQUISITIONING.
OH,CLARK CTY SHERIFF DEPT             ,2YTCFQ91570419,7110,DSGUNCABI,GUN CABINET/SAFE,EA,1,2206.29,2019-07-01 00:00:00,DEPUTIES IN PROPERTY ROOM WOULD USE TO LOCK UP EVIDENCE OF FIREARMS FOR COURT TO PRESERVE THEM
OH,CLARK CTY SHERIFF DEPT             ,2YTCFQ91570420,7110,DSSAFE000,SAFE,EA,1,2206.29,2019-07-01 00:00:00,DEPUTIES IN PROPERTY ROOM WOULD USE TO STORE FIREARMS FOR EVIDENCE AND SECURE FOR COURT
OH,CLARK CTY SHERIFF DEPT             ,2YTCFQ91692608,4240,DSSAFERES,SAFETY AND RESCUE EQUIPMENT,EA,10,5,2019-07-01 00:00:00,DEPUTIES TO USE AS A BACKUP FOR LESS LETHAL AIR GUN TO DISPERSE CROWDS
OH,CLARK CTY SHERIFF DEPT             ,2YTCFQ91702862,6130,014430970,"CHARGER,BATTERY",EA,5,2412,2019-07-01 00:00:00,DEPUTIES WOULD USE TO CHARGE THE 2590 BATTERIES AND THE 390 BATTERIES FOR ROBOTS OTHER CHARGER IS NOT WORKING 100 PERCENT AND THIS WOULD AID IN COMPLETE EFFICIENCY IN DEPLOYMENT OF ROBOTS ON TACTICAL ENTRIES
OH,CLARK CTY SHERIFF DEPT             ,2YTCFQ91723408,1095,DSMISCWEA,MISCELLANEOUS WEAPONS,EA,1,3085.31,2019-07-01 00:00:00,DEPUTIES TO USE LESS LETHAL WEAPON ON TACTICAL TEAM ON WARRANT AND BARRICADE SUSPECTS
OH,CLARK CTY SHERIFF DEPT             ,2YTCFQ91763761,5965,251522479,HEADSET-MICROPHONE,EA,1,2403.27,2019-07-01 00:00:00,DEPUTY ASSIGNED TO TACTICAL TEAM AS TEAM LEADER TO USE FOR COMS AS WELL AS MULTIPLE RADIO USAGE AND PROVIDE EFFICIENCY
