Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Requested,Justification,Reason Cancelled
LESOHQ,2401255,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,10,39.38,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401256,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,11,39.38,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2401257,AK,ANCHORAGE POLICE DEPARTMENT,8340,016004807,TARPAULIN,EA,1,78.91,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2403961,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,26,39.38,2019-07-01 19:29:03.000002,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2401259,AK,ANCHORAGE POLICE DEPARTMENT,8415,012968878,"VEST,TACTICAL LOAD",EA,2,48.8,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT BOMB SQUAD IN TRAINING AND OPERATIONS.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2401260,AK,ANCHORAGE POLICE DEPARTMENT,8415,015138143,"VEST,SURVIVAL",EA,1,866,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2401258,AK,ANCHORAGE POLICE DEPARTMENT,8405,015472559,"LINER,WET WEATHER P",EA,26,39.38,2019-06-26 20:44:52.999999,FOR USE BY THE ANCHORAGE POLICE DEPARTMENT IN OPERATIONS AND TRAINING.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2390600,AL,AL STATE PARKS DIV,5130,014461303,"SAW,CIRCULAR,PORTABLE,ELECTRIC",EA,6,255.2,2019-06-15 01:35:40.000002,FOR USE IN REPAIRING AND MAINTAINING STORAGE AND OPERATIONS STRUCTURES AND EQUIPMENT SUPPORTING PARK RANGERS IN THEIR LAW ENFORCEMENT AND PATROLLING DUTIES AT 17 LOCATIONS ACROSS ALABAMA.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2433297,AL,AL STATE PARKS DIV,2310,016231545,"UTILITY VEHICLE,OFF ROAD",EA,3,32000,2019-08-28 03:36:06.999999,THESE OFF HIGHWAY VEHICLES ARE VERY MUCH NEEDED BY OUR RANGERS FOR PATROLLING AND LAW ENFORCEMENT ACTIVITIES THROUGHOUT OUR PARK SYSTEM. OUR PARKS ENCOMPASS OVER 50K ACRES OF LAND MUCH OF IT REMOTE.,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,2382579,AL,AL STATE PARKS DIV,4230,013035225,DECONTAMINATING APPARATUS,EA,2,14000,2019-05-30 19:34:31.000002,"FOR DECONTAMINATING, DISINFECTING, AND CLEANING LAW ENFORCEMENT GEAR, EQUIPMENT, AND VEHICLES",CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,2410051,AL,AL STATE PARKS DIV,2340,DSCART000,"CART, MOTORIZED",EA,1,3695,2019-07-13 01:01:33.999997,FOR USE BY LAW ENFORCEMENT PERSONNEL TO PATROL AREAS AND ENFORCE LAWS AND REGULATIONS IN AREAS NOT ACCESSIBLE WITH FULL SIZE MOTOR VEHICLES.,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,2443785,AL,AL STATE PARKS DIV,2320,015015871,"TRUCK,CARRYALL",EA,1,30000,2019-09-23 08:14:27.999998,"THIS VEHICLE WILL BE USED FOR LAW ENFORCEMENT OPERATIONS INCLUDING PATROLLING, ENFORCING STATE PARK RULES AND REGULATIONS, TOWING TRAILERS TRANSPORTING LE GEAR AND EQUIPMENT, AND TO FACILITATE MAINTENANCE AND REPAIR OF LE AND LESO EQUIPMENT AND VEHICLES.",CANCELLED:  Item(s) has already been approved for another agency.
