State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-04-01 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-18 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-22 00:00:00,State
MI,ADRIAN POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2010-03-22 00:00:00,State
MI,AKRON POLICE DEPARTMENT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-06 00:00:00,State
MI,AKRON POLICE DEPARTMENT,1240-01-581-8985,"SIGHT,REFLEX",3,Each,228.39,D,1,2015-11-05 00:00:00,State
MI,AKRON POLICE DEPARTMENT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-11-06 00:00:00,State
MI,AKRON POLICE DEPARTMENT,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-04-06 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,7350-00-205-0928,"DISPENSER,PAPER NAPKIN",16,Each,6.6,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5180-00-408-1859,"TOOL KIT,ELECTRICIAN'S",10,Kit,44.99,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-090-9319,"SOCKET,SOCKET WRENCH",1,Each,19.64,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-00-596-0931,"SCREWDRIVER ATTACHMENT,SOCKET WRENCH",9,Each,2.77,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-185-7963,"SOCKET,WRENCH,FACE SPANNER",1,Each,52.03,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5210-00-792-9000,"TAPE,MEASURING",1,Each,6.39,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-106-0085,"SOCKET,SOCKET WRENCH",2,Each,17.9,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-00-892-5485,"HAMMER,HAND",1,Each,21.2,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-144-5327,"SOCKET,SOCKET WRENCH",2,Each,12.67,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-089-9067,"SOCKET,SOCKET WRENCH",2,Each,30.96,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-173-1425,"SOCKET,SOCKET WRENCH",1,Each,15.61,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,2420-01-532-3399,"TRACTOR,WHEELED,INDUSTRIAL",1,Each,78000,Q,6,2018-12-20 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-00-265-7462,"HAMMER,HAND",2,Each,24.48,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5180-01-556-9144,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,1229.68,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,7330-01-449-2319,"JUG,INSULATED",1,Each,36.23,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,7330-DS-KIT-HAND,KITCHEN HAND TOOLS AND UTENSILS,2,Each,138,A,,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5180-01-590-2014,"KIT,GRINDER ELECTRIC",1,Kit,1544.32,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-115-6873,"SCREWDRIVER SET,CROSS TIP",3,Set,6.61,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-428-8156,NUTDRIVER,7,Each,3.35,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-187-3659,"INSERTER,BEARING AND BUSHING",1,Each,72.77,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,6710-DS-CAM-COR1,CAMCORDER,2,Each,3605,A,,2019-02-26 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,2215,A,,2018-12-17 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,5120-01-144-5331,"SOCKET,SOCKET WRENCH",1,Each,17.28,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,7021-DS-NOT-EBO1,NOTEBOOK COMPUTER,5,Each,1589,A,,2019-04-26 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,2320-01-128-9552,"TRUCK,UTILITY",1,Each,49897,C,1,2013-11-21 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,2320-01-346-9317,"TRUCK,UTILITY",1,Each,89900,C,1,2012-03-29 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,6115-00-258-1622,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,23731,A,1,2018-10-15 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,7330-00-266-7453,COLANDER,1,Each,24.73,A,1,2018-11-13 00:00:00,State
MI,ALBION DEPT OF PUBLIC SAFETY,2320-01-215-7631,"TRUCK,VAN",1,Each,33082,A,1,2019-02-08 00:00:00,State
