State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2001-08-21 00:00:00,State
WI,ALTOONA POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2017-09-18 00:00:00,State
WI,ALTOONA POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-12 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,46000,D,1,2019-07-18 00:00:00,State
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,72.1,D,1,2009-03-19 00:00:00,State
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-11-15 00:00:00,State
