State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2540-01-479-2020,"CUSHION,SEAT,VEHICULAR",3,Each,120.13,A,1,2018-10-15 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,4110-DS-REF-RIG0,REFRIGERATOR,2,Each,400,A,,2019-02-19 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,4300,F,1,2011-12-15 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,3439-00-262-2743,"ELECTRODE,WELDING",1,Can,265.4,B,3,2013-01-02 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,23800,A,,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,6515-01-586-0267,"MASK,RESPIRATOR",65,Package,383.36,A,1,2019-05-23 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-00-892-5938,"TRUCK,CARGO",1,Each,27290,A,1,2019-06-25 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,28275,A,,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,18620,A,,2019-05-14 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7530-01-483-8888,"ENVELOPE,WALLET",18,Package,24.89,A,1,2019-02-19 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,16314,A,,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-417-1884,"BINDER,LOOSE-LEAF",18,Each,5.59,A,1,2019-02-19 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-417-1882,"BINDER,LOOSE-LEAF",14,Each,5.99,A,1,2019-02-19 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7510-01-278-4129,"BINDER,LOOSE-LEAF",22,Each,4.72,A,1,2019-02-19 00:00:00,State
