State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2014-02-28 00:00:00,State
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2014-02-28 00:00:00,State
PR,AGUADA POLICE DEPARTMENT,5180-00-323-4944,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,1046,Q,3,2013-11-14 00:00:00,State
PR,AGUADA POLICE DEPARTMENT,2590-01-541-4611,"PARTS KIT,SPECIALIZED",5,Kit,558.92,B,3,2013-11-14 00:00:00,State
PR,AGUADA POLICE DEPARTMENT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,41447,C,1,2013-11-02 00:00:00,State
PR,AGUADA POLICE DEPARTMENT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,49897,C,1,2014-10-28 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7153,"TRUCK,UTILITY",1,Each,63894,C,1,2012-02-23 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-03-16 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-03-29 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-03-16 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-03-16 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-03-29 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-04-19 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-03-29 00:00:00,State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-03-29 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-05-06 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-DS-TRU-CKDC,"TRUCKS AND TRUCK TRACTORS, DEMIL C",1,Each,95000,C,,2015-04-14 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-05-06 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-12-15 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2011-10-25 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2011-09-30 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-11-01 00:00:00,State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-05-06 00:00:00,State
