State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
SC,ABBEVILLE COUNTY SHERIFF OFFICE,6650-01-583-7651,"TELESCOPE,STRAIGHT",1,Each,5008,D,1,2019-09-10 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7010-01-562-7989,"COMPUTER SYSTEM,DIGITAL",5,Each,1102.23,A,1,2019-12-03 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,500,A,,2019-08-19 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,194.77,A,,2019-08-19 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7010-01-584-7666,"COMPUTER SYSTEM,DIGITAL",1,Each,899,A,7,2019-12-03 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,1000,A,,2019-11-27 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,2028,A,,2019-11-27 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,1068,A,,2019-12-03 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,199.99,A,,2019-08-19 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,2028.01,A,,2019-11-27 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1240-01-411-1265,"SIGHT,REFLEX",11,Each,321,D,1,2018-03-29 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,41.04,D,1,2017-12-08 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,41.04,D,1,2017-12-08 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-01-484-8000,"SIGHT,REAR",15,Each,55.04,D,1,2018-03-19 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,12,Each,117,D,1,2017-11-30 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7010-01-572-8348,"WORKSTATION,PORTABLE MULTIFUNCTION",1,Each,3200,D,1,2019-12-03 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,14659,A,,2019-11-27 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,2028.01,A,,2019-11-27 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,41.04,D,1,2017-12-08 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-00-921-5004,"MAGAZINE,CARTRIDGE",80,Each,13.56,D,1,2017-11-30 00:00:00,State
SC,ABBEVILLE COUNTY SHERIFF OFFICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,41.04,D,1,2017-12-08 00:00:00,State
