State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
TN,ADAMSVILLE POLICE DEPARTMENT,5855-01-599-7164,"ILLUMINATOR,INTEGRATED,SMALL ARMS",1,Each,2696.64,D,1,2016-01-21 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",2,Each,1079,D,1,2016-02-02 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,4933-01-394-7781,"BORE LIGHT SYSTEM,LASER",1,Each,642,D,1,2016-02-17 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",15,Each,13.56,D,1,2016-01-04 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,4920-01-185-9027,BACKLASH TOOL SET-X,1,Set,354,B,0,2015-12-29 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-471-5456,"BARREL,CARBINE",2,Each,107.56,D,1,2016-01-04 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,2540-01-530-7453,"ARMOR SET,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",2,Each,875,D,1,2015-12-17 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5340-01-535-4868,"HARDWARE KIT,MECHANIC EQUIPMENT",2,Each,87.55,A,1,2016-01-05 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1670-01-038-1407,"TIEDOWN,1000 LB    ",3,Each,2167.49,A,1,2016-03-16 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-522-5347,"HELMET,FLYERS",4,Each,1540.61,D,7,2016-01-17 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5965-01-509-9358,HEADSET-MICROPHONE,5,Each,93.25,A,1,2016-02-10 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-199-8676,"TELESCOPE,PANORAMIC",1,Each,5584,D,1,2016-02-10 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,1665,D,,2015-12-23 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,1665,D,,2015-12-23 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5965-01-506-7576,HEADSET-MICROPHONE,8,Each,699.26,Q,3,2015-12-30 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-581-8985,"SIGHT,REFLEX",4,Each,228.39,D,1,2016-01-21 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,4933-01-394-7781,"BORE LIGHT SYSTEM,LASER",1,Each,642,D,1,2016-02-17 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-09-17 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-09-17 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5860-01-564-8167,"MARKER,LASER",1,Each,1401,D,1,2017-03-13 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5820-01-531-1752,SINGLE PERSONAL ROLE RADIO,4,Each,1499.28,D,1,2017-12-01 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,6720-01-571-4627,"CAMERA SYSTEM,DIGITAL",4,Each,180.81,Q,3,2017-09-18 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-165-2183,"TELESCOPE,STRAIGHT",1,Each,1556.06,D,1,2017-12-06 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,8430-01-471-8268,"BOOTS,COLD WEATHER",4,Pair,117.56,A,1,2019-04-02 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-282-3160,"COVER,INDIVIDUAL,CAMOUFLAGE",2,Each,8.85,A,1,2019-04-16 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
