State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,4300,F,1,2011-12-15 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-00-892-5938,"TRUCK,CARGO",1,Each,27290,A,1,2019-06-25 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,3439-00-262-2743,"ELECTRODE,WELDING",1,Can,265.4,B,3,2013-01-02 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,16314,A,,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,23800,A,,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,4910-01-353-9944,"WASHER,PRESSURE,PORTABLE",2,Each,563.2,A,1,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,28275,A,,2019-04-18 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,6515-01-586-0267,"MASK,RESPIRATOR",59,Package,383.36,A,1,2019-05-28 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,6515-01-586-0267,"MASK,RESPIRATOR",65,Package,383.36,A,1,2019-05-23 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,6515-01-586-0267,"MASK,RESPIRATOR",88,Package,383.36,A,1,2019-05-28 00:00:00,State
GU,GUAM CUSTOMS AND QUARANTINE AGENCY,7490-01-395-3263,"SHREDDING MACHINE,PAPER",1,Each,6613.42,A,1,2019-05-16 00:00:00,State
