State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
TN,18TH JUDICAL DTF,4940-01-504-9785,"SERVICING PLATFORM,SELF-PROPELLED",1,Each,133232.81,Q,3,2010-02-01 00:00:00,State
TN,18TH JUDICAL DTF,1240-01-411-1265,"SIGHT,REFLEX",15,Each,321,D,1,2011-05-06 00:00:00,State
TN,18TH JUDICAL DTF,2320-01-107-7153,"TRUCK,UTILITY",1,Each,63894,C,1,2011-10-20 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,8475-01-128-8269,"HELMET,FLYERS",6,Each,286.69,Q,3,2010-08-14 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,5180-01-375-6927,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,1016,Q,3,2010-08-31 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2002-09-18 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2002-09-18 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2002-09-18 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,6110-01-303-4667,"PANEL,POWER DISTRIBUTION",6,Each,1727.26,Q,3,2009-10-24 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,5420-01-325-7597,RAMP ASSEMBLY      ,2,Each,8025.56,D,1,2009-11-04 00:00:00,State
TN,21ST JUDICIAL DISTRICT DTF,6230-01-273-2567,FLOODLIGHT ASSEMBLY,2,Each,7650,Q,3,2009-12-14 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,1240-01-533-0941,"SIGHT,REFLEX",16,Each,400,D,0,2019-02-11 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,831,A,,2019-04-24 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,1240-01-411-1265,"SIGHT,REFLEX",5,Each,321,D,1,2012-07-27 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,831,A,,2019-04-24 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,2510-01-253-3907,"DOOR,VEHICULAR",2,Assembly,1623.6,D,1,2012-08-13 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,2320-01-371-9584,"TRUCK,UTILITY",1,Each,62627,C,1,2014-06-20 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,2510-01-254-1482,"DOOR,VEHICULAR",2,Assembly,1623.6,D,1,2012-08-13 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,2320-01-371-9584,"TRUCK,UTILITY",1,Each,62627,C,1,2014-06-20 00:00:00,State
TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,814,A,,2019-04-24 00:00:00,State
TN,24TH JUDICIAL DISTRICT DTF,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,658000,C,1,2016-05-16 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,1665,D,,2015-12-23 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00,State
TN,ADAMSVILLE POLICE DEPARTMENT,5965-01-506-7576,HEADSET-MICROPHONE,8,Each,699.26,Q,3,2015-12-30 00:00:00,State
