State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,Date Shipped,Justification
KY,VINE GROVE POLICE DEPT,2YT01P00425453,2320,DSTRUCK00,TRUCKS AND TRUCK TRACTORS,EA,1,10000,2020-03-11 00:00:00,THIS VEHICLE WOULD BE UTILIZED FOR A TRAFFIC ACCIDENT RESPONSE UNIT AND STORE AND MAINTAIN EQUIPMENT NECESSARY FOR ACCIDENT INVESTIGATION.
KY,VINE GROVE POLICE DEPT,2YT01P00425454,2320,DSPICKUP0,PICKUP,EA,1,14764,2020-03-11 00:00:00,THIS TRUCK WOULD BE USED AS A LIGHT DUTY VEHICLE TO TRANSPORT EVIDENCE TO AND FROM THE CRIME LAB.
KY,VINE GROVE POLICE DEPT,2YT01P00527819,7025,DSINKJETP,"PRINTER, INK JET",EA,10,180,2020-03-11 00:00:00,ONE OF THESE PRINTERS WOULD BE STATIONED AT EACH OFFICERS WORKSTATION FOR PRINTING CRIME AND ACCIDENT REPORTS
KY,VINE GROVE POLICE DEPT,2YT01P00527823,6530,DSHOSCART,HOSPITAL CART,EA,2,11995,2020-03-11 00:00:00,THESE CARTS WOULD BE UTILIZED FOR STORAGE CARTS FOR OFFICE SUPPLIES AND SMALL EQUIPMENT IN THE STORAGE AREA.
KY,VINE GROVE POLICE DEPT,2YT01P00527856,2815,016540525,OUTDRIVE ASSEMBLY,EA,1,5087.82,2020-03-11 00:00:00,THIS ASSEMBLY WOULD BE UTILIZED TO REPLACE A BROKEN OR DAMAGED ASSEMBLY ON AN EXISTING UNIT.
KY,WILDER POLICE DEPT,2YT02300160181,7025,DSFLATPAN,FLAT PANEL MONITOR,EA,5,100,2020-02-06 00:00:00,THESE ITEMS WILL BE ISSUED TO FIVE INDIVIDUAL OFFICERS FOR USE AT THEIR COMPUTER WORK STATIONS.  THIS WILL ALLOW FOR DUAL MONITOR USE TO AID IN INVESTIGATIONS AND REPORT WRITING.
KY,WILDER POLICE DEPT,2YT02300160182,2540,DSBOX0000,VEHICLE BOX,EA,11,50,2020-02-06 00:00:00,THESE ITEMS WILL BE ISSUED TO OUR FLEET OF 11 POLICE VEHICLES TO BE USED TO SECURE AND TRANSPORT EVIDENCE FROM A SCENE OR STATE FORENSIC LAB.
KY,WILDER POLICE DEPT,2YT02300160184,8465,015571570,"BAG,INDIVIDUAL EQUIPMENT,CARRIER",EA,3,465,2020-02-06 00:00:00,"THESE ITEMS WILL BE ISSUED TO 3 INDIVIDUAL OFFICERS TO STORE HAZMAT RESPONSE EQUIPMENT TO INCLUDE TYVEK SUITS, GAS MASKS, GLOVES, AND BOOTS."
KY,WILDER POLICE DEPT,2YT02300160190,8145,DSCASE004,SHIPPING CASE,EA,2,500,2020-02-06 00:00:00,ITEMS WILL BE USED AT THE POLICE DEPARTMENT BUILDING TO AID IN THE STORAGE AND ORGANIZING OF DEPARTMENTAL PROPERTY.
KY,WILDER POLICE DEPT,2YT02300160192,8465,015571570,"BAG,INDIVIDUAL EQUIPMENT,CARRIER",EA,8,465,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO THE REMAINING POLICE VEHICLES FOR STORING AND TRANSPORTING EQUIPMENT AND CLOTHING FOR TRAINING.
KY,WILDER POLICE DEPT,2YT02300160197,8415,015302351,"PAD,KNEE",PR,18,17.88,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO EACH INDIVIDUAL OFFICER.  THESE WILL BE USED DURING PROLONGED STANDOFFS AND WHILE OPERATING DEPARTMENT ISSUED ALL TERRAIN VEHICLES.
KY,WILDER POLICE DEPT,2YT02300160198,8415,015302161,"ELBOW,PADS",PR,18,9.54,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO EACH INDIVIDUAL OFFICER.  THESE WILL BE USED DURING PROLONGED STANDOFFS AND WHILE OPERATING DEPARTMENT OWNED ALL TERRAIN VEHICLES.
KY,WILDER POLICE DEPT,2YT02300160200,8415,015585501,"GLOVES,COLD WEATHER",SE,7,530,2020-02-06 00:00:00,"ITEMS WILL BE ISSUED TO INDIVIDUAL OFFICERS FOR USE DURING INCLEMENT WEATHER WHILE PERFORMING DUTIES OUTSIDE, SUCH AS DIRECTING TRAFFIC AND INVESTIGATING COLLISIONS."
KY,WILDER POLICE DEPT,2YT02300160204,8415,015427643,"JACKET,EXTREME COLD WEATHER",EA,2,144.38,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO INDIVIDUAL OFFICERS FOR USE DURING INCLEMENT WEATHER WHILE PERFORMING DUTIES OUTSIDE.
KY,WILDER POLICE DEPT,2YT02300160209,8415,015428554,"JACKET,EXTREME COLD WEATHER",EA,1,144.38,2020-02-06 00:00:00,ITEM WILL BE ISSUED TO AN INDIVIDUAL OFFICER FOR USE DURING INCLEMENT WEATHER WHILE PERFORMING DUTIES OUTSIDE.
KY,WILDER POLICE DEPT,2YT02300160215,8465,015713552,FIELD PACK,EA,4,685,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO INDIVIDUAL OFFICERS FOR STORAGE OF EQUIPMENT IN THEIR POLICE ISSUED VEHICLES.
KY,WILDER POLICE DEPT,2YT02300160217,8465,015196490,"BAG,DEPLOYMENT,GN",EA,1,125.58,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO AN INDIVIDUAL OFFICER FOR THE PURPOSE OF STORING EQUIPMENT INSIDE OF THEIR DEPARTMENT ISSUED POLICE VEHICLE.
KY,WILDER POLICE DEPT,2YT02300160224,8430,015161719,"BOOTS,COMBAT",PR,2,101.69,2020-02-06 00:00:00,ITEMS WILL BE ISSUED TO 2 OFFICERS FOR USE DURING INCLEMENT WEATHER AND FIELD SEARCHES WHILE ON DUTY.
KY,WILDER POLICE DEPT,2YT02300221450,7021,DSNOTEBO1,NOTEBOOK COMPUTER,EA,2,635.57,2020-02-06 00:00:00,"ITEMS WILL BE ISSUED TO TWO PATROL OFFICERS TO TYPE REPORTS, CONDUCT ONLINE SEARCHES FOR INVESTIGATIVE PURPOSES, AND TO AID IN DEPARTMENTAL OPERATIONS."
KY,WILDER POLICE DEPT,2YT02300221454,7050,016032854,"MEMORY,PORTABLE,HAR",EA,2,179.64,2020-02-06 00:00:00,ITEMS WILL BE USED BY THE DEPARTMENT DETECTIVE TO AID IN INVESTIGATIONS OF DOWNLOADING VIDEO SURVEILLANCE FOOTAGE AND FOR DIGITAL EVIDENCE STORAGE.
KY,WILDER POLICE DEPT,2YT02300456274,7110,DSTABLE02,"TABLE, OFFICE",EA,4,1000,2020-02-21 00:00:00,"THESE ITEMS WILL BE PLACED INSIDE THE POLICE DEPARTMENT IN OUR PATROL ROOM TO ACCOMMODATE STAFF MEETINGS, TRAININGS, AND FOR DISPLAYING EVIDENCE ITEMS TO ASSIST WITH PROCESSING AND PHOTOGRAPHING."
KY,WILDER POLICE DEPT,2YT02300456277,8140,009601699,"CHEST,AMMUNITION",EA,20,11.1,2020-02-21 00:00:00,THESE ITEMS WILL BE ISSUED TO EACH OFFICER FOR STORAGE OF DEPARTMENT ISSUED AMMUNITION.
KY,WILDER POLICE DEPT,2YT02300456280,8465,015195238,"POUCH,SG,SINGLE,KH",EA,15,6.64,2020-02-21 00:00:00,THESE ITEMS WILL BE ISSUED TO INDIVIDUAL OFFICERS TO AFFIX TO THEIR EXTERNAL VEST CARRIERS FOR THE STORAGE OF DEPARTMENT ISSUED EQUIPMENT.
