State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
AL,DOJ/FBI HAZ DEVICES SCHOOL,8140-00-960-1699,"CHEST,AMMUNITION",312,Each,11.1,A,1,2020-01-08 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,8140-00-960-1699,"CHEST,AMMUNITION",98,Each,11.1,A,1,2020-01-09 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,8140-00-960-1699,"CHEST,AMMUNITION",78,Each,11.1,A,1,2020-01-09 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,8465-01-524-5250,ASSAULT PACK       ,3,Each,77.08,A,1,2020-02-20 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,6515-01-519-6348,"GLOVES,SURGEONS'",2,Package,173.83,A,1,2020-02-20 00:00:00
AL,DOJ/FBI HAZ DEVICES SCHOOL,8465-01-524-5250,ASSAULT PACK       ,7,Each,77.08,A,1,2020-02-20 00:00:00
AZ,USDVA/LE PHOENIX,8430-01-540-4006,"BOOTS,HOT WEATHER",10,Pair,118.66,A,1,2020-01-13 00:00:00
CA,DHS/CBP PATROL CHULA VISTA,1005-01-561-7200,"MAGAZINE,CARTRIDGE",200,Each,13.56,D,1,2020-01-22 00:00:00
CA,DHS/CBP PATROL CHULA VISTA,8415-01-608-3123,"JACKET,FLYER'S",20,Each,306.42,A,1,2020-01-22 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,1005-01-630-9508,"MAGAZINE,CARTRIDGE",150,Each,13.56,D,1,2020-03-20 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,7240-00-089-3827,"CAN,MILITARY",5,Each,20.61,A,1,2020-01-07 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,7240-00-089-3827,"CAN,MILITARY",80,Each,20.61,A,1,2020-01-07 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,8465-01-019-9103,FIELD PACK,1,Each,45.64,A,1,2020-01-30 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,8430-01-563-6886,"BOOTS,COLD WEATHER",20,Pair,148.49,A,1,2020-01-30 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,8415-01-577-1957,"LINER,EXTREME COLD WEATHER PARKA",1,Each,245.25,A,1,2020-01-21 00:00:00
CA,DHS/ICE ERO SRT SAN BERNARDINO,8465-00-927-7485,"COVER,WATER CANTEEN",40,Each,10.28,A,1,2020-01-21 00:00:00
